|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;0,1007;0,3268;0,0373;0,1460
256;UMAP;0,0091;0,0463;0,0046;0,0181
256;NN;0,1000;0,3239;0,0371;0,1451
256;KPCA_sigmoid;0,0913;0,2847;0,0326;0,1263
256;KPCA_rbf;0,0916;0,2855;0,0327;0,1265
256;KPCA_poly;0,0915;0,2855;0,0327;0,1265
256;KPCA_linear;0,0913;0,2847;0,0326;0,1263
256;KPCA_cosine;0,0887;0,2804;0,0322;0,1247
256;BASE;0,1023;0,3333;0,0378;0,1470
256;AUTOE;0,0579;0,1898;0,0210;0,0825
128;UMAP;0,0050;0,0202;0,0021;0,0075
128;NN;0,1002;0,3231;0,0371;0,1445
128;KPCA_sigmoid;0,0936;0,2876;0,0330;0,1277
128;KPCA_rbf;0,0935;0,2891;0,0331;0,1283
128;KPCA_poly;0,0937;0,2891;0,0331;0,1282
128;KPCA_linear;0,0936;0,2884;0,0331;0,1279
128;KPCA_cosine;0,0898;0,2898;0,0328;0,1273
128;BASE;0,0997;0,3268;0,0366;0,1427
128;AUTOE;0,0755;0,2514;0,0278;0,1082
64;UMAP;0,0047;0,0188;0,0018;0,0074
64;NN;0,0995;0,3181;0,0370;0,1426
64;KPCA_sigmoid;0,0930;0,2971;0,0338;0,1303
64;KPCA_rbf;0,0931;0,2963;0,0337;0,1300
64;KPCA_poly;0,0929;0,2949;0,0336;0,1294
64;KPCA_linear;0,0929;0,2963;0,0337;0,1301
64;KPCA_cosine;0,0870;0,2775;0,0309;0,1187
64;BASE;0,0941;0,3152;0,0357;0,1390
64;AUTOE;0,0791;0,2753;0,0295;0,1155
32;UMAP;0,0088;0,0289;0,0034;0,0132
32;NN;0,0975;0,3159;0,0362;0,1402
32;KPCA_sigmoid;0,0911;0,2847;0,0323;0,1248
32;KPCA_rbf;0,0910;0,2847;0,0323;0,1248
32;KPCA_poly;0,0912;0,2855;0,0324;0,1250
32;KPCA_linear;0,0912;0,2855;0,0324;0,1250
32;KPCA_cosine;0,0892;0,2833;0,0320;0,1231
32;BASE;0,0761;0,2557;0,0290;0,1110
32;AUTOE;0,0843;0,2768;0,0307;0,1189
16;UMAP;0,0184;0,0804;0,0086;0,0321
16;NN;0,0984;0,3210;0,0365;0,1415
16;KPCA_sigmoid;0,0929;0,2971;0,0337;0,1302
16;KPCA_rbf;0,0927;0,2956;0,0336;0,1295
16;KPCA_poly;0,0927;0,2963;0,0336;0,1296
16;KPCA_linear;0,0927;0,2963;0,0336;0,1296
16;KPCA_cosine;0,0895;0,2898;0,0324;0,1248
16;BASE;0,0876;0,2942;0,0329;0,1289
16;AUTOE;0,0690;0,2463;0,0263;0,0997
8;UMAP;0,0064;0,0246;0,0025;0,0102
8;NN;0,1000;0,3260;0,0369;0,1431
8;KPCA_sigmoid;0,0924;0,2992;0,0336;0,1301
8;KPCA_rbf;0,0921;0,2992;0,0336;0,1301
8;KPCA_poly;0,0922;0,2992;0,0336;0,1301
8;KPCA_linear;0,0924;0,2992;0,0336;0,1301
8;KPCA_cosine;0,0917;0,3;0,0334;0,1301
8;BASE;0,0661;0,2137;0,0234;0,0903
8;AUTOE;0,0163;0,0623;0,0066;0,0264
4;UMAP;0,0163;0,0695;0,0072;0,0278
4;NN;0,0901;0,2963;0,0331;0,1288
4;KPCA_sigmoid;0,0885;0,2876;0,0322;0,1231
4;KPCA_rbf;0,0887;0,2884;0,0323;0,1235
4;KPCA_poly;0,0886;0,2884;0,0322;0,1232
4;KPCA_linear;0,0887;0,2884;0,0323;0,1235
4;KPCA_cosine;0,0882;0,2891;0,0322;0,1225
4;BASE;0,0705;0,2427;0,0269;0,1049
4;AUTOE;0,0760;0,2536;0,0278;0,1084
2;UMAP;0,0056;0,0188;0,0020;0,0077
2;TSNE;0,0171;0,0659;0,0072;0,0279
2;NN;0,0905;0,2978;0,0332;0,1294
2;KPCA_sigmoid;0,0773;0,2623;0,0287;0,1092
2;KPCA_rbf;0,0775;0,2623;0,0287;0,1092
2;KPCA_poly;0,0773;0,2623;0,0287;0,1092
2;KPCA_linear;0,0773;0,2623;0,0287;0,1092
2;KPCA_cosine;0,0785;0,2695;0,0293;0,1110
2;BASE;0,0649;0,2275;0,025;0,0940
2;AUTOE;0,0426;0,1782;0,0190;0,0750
