|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;0,3266;0,9011;0,2827;0,1750
256;UMAP;0,0232;0,1581;0,0256;0,0070
256;NN;0,3273;0,9026;0,2838;0,1755
256;KPCA_sigmoid;0,2557;0,8424;0,2237;0,1360
256;KPCA_rbf;0,2574;0,8434;0,2252;0,1372
256;KPCA_poly;0,2568;0,8441;0,2248;0,1370
256;KPCA_linear;0,2562;0,8433;0,2243;0,1364
256;KPCA_cosine;0,2762;0,8630;0,2408;0,1491
256;BASE;0,3193;0,8961;0,2776;0,1715
256;AUTOE;0,2380;0,8171;0,2104;0,1282
128;UMAP;0,0195;0,1472;0,0198;0,0089
128;NN;0,3273;0,9034;0,2838;0,1759
128;KPCA_sigmoid;0,2557;0,8388;0,2236;0,1361
128;KPCA_rbf;0,2575;0,8416;0,2251;0,1373
128;KPCA_poly;0,2569;0,8415;0,2247;0,1370
128;KPCA_linear;0,2562;0,8398;0,2242;0,1365
128;KPCA_cosine;0,2763;0,8631;0,2407;0,1485
128;BASE;0,3160;0,8901;0,2739;0,1668
128;AUTOE;0,2084;0,7737;0,1852;0,1103
64;UMAP;0,0202;0,1507;0,0205;0,0095
64;NN;0,3269;0,9016;0,2836;0,1755
64;KPCA_sigmoid;0,2570;0,8449;0,2254;0,1372
64;KPCA_rbf;0,2585;0,8473;0,2266;0,1381
64;KPCA_poly;0,2580;0,8464;0,2262;0,1378
64;KPCA_linear;0,2574;0,8449;0,2258;0,1374
64;KPCA_cosine;0,2771;0,8658;0,2417;0,1493
64;BASE;0,3061;0,8767;0,2647;0,1594
64;AUTOE;0,2055;0,7678;0,1822;0,1094
32;UMAP;0,0276;0,1743;0,0272;0,0132
32;NN;0,3231;0,8961;0,2799;0,1719
32;KPCA_sigmoid;0,2572;0,8416;0,2243;0,1356
32;KPCA_rbf;0,2588;0,8436;0,2257;0,1368
32;KPCA_poly;0,2582;0,8433;0,2251;0,1364
32;KPCA_linear;0,2576;0,8421;0,2247;0,1360
32;KPCA_cosine;0,2763;0,8575;0,2409;0,1469
32;BASE;0,3027;0,8787;0,2639;0,1583
32;AUTOE;0,1882;0,7212;0,1672;0,0948
16;UMAP;0,0210;0,1329;0,0188;0,0096
16;NN;0,3092;0,8827;0,2690;0,1607
16;KPCA_sigmoid;0,2498;0,8272;0,2189;0,1295
16;KPCA_rbf;0,2516;0,8295;0,2205;0,1303
16;KPCA_poly;0,2511;0,8299;0,2201;0,1302
16;KPCA_linear;0,2504;0,8275;0,2193;0,1297
16;KPCA_cosine;0,2676;0,8401;0,2340;0,1390
16;BASE;0,2885;0,8532;0,2526;0,1474
16;AUTOE;0,1917;0,7267;0,1726;0,0932
8;UMAP;0,0226;0,1546;0,0215;0,0107
8;NN;0,2777;0,8287;0,2422;0,1353
8;KPCA_sigmoid;0,2327;0,7893;0,2046;0,1167
8;KPCA_rbf;0,2341;0,7921;0,2059;0,1175
8;KPCA_poly;0,2338;0,7918;0,2056;0,1173
8;KPCA_linear;0,2331;0,7899;0,2050;0,1170
8;KPCA_cosine;0,2459;0,7957;0,2169;0,1228
8;BASE;0,2668;0,8242;0,2331;0,1321
8;AUTOE;0,1968;0,7418;0,1763;0,0961
4;UMAP;0,0228;0,1372;0,0208;0,0081
4;NN;0,2384;0,7663;0,2085;0,1109
4;KPCA_sigmoid;0,2047;0,7204;0,1809;0,0966
4;KPCA_rbf;0,2057;0,7222;0,1816;0,0970
4;KPCA_poly;0,2052;0,7217;0,1813;0,0968
4;KPCA_linear;0,2050;0,7212;0,1812;0,0968
4;KPCA_cosine;0,2132;0,7249;0,1883;0,0995
4;BASE;0,2276;0,7527;0,1976;0,1077
4;AUTOE;0,1566;0,6396;0,1417;0,0687
2;UMAP;0,0139;0,0960;0,0136;0,0051
2;TSNE;0,0596;0,3072;0,0580;0,0221
2;NN;0,1897;0,6874;0,1694;0,0850
2;KPCA_sigmoid;0,1684;0,6286;0,1508;0,0740
2;KPCA_rbf;0,1687;0,6290;0,1510;0,0741
2;KPCA_poly;0,1686;0,6285;0,1510;0,0740
2;KPCA_linear;0,1684;0,6281;0,1509;0,0740
2;KPCA_cosine;0,1746;0,6326;0,1571;0,0769
2;BASE;0,1890;0,6924;0,1664;0,0870
2;AUTOE;0,0456;0,2803;0,0467;0,0170
