|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;0,2490;0,5539;0,1020;0,2962
256;UMAP;0,0175;0,0927;0,0126;0,0257
256;NN;0,2492;0,5559;0,1023;0,2966
256;KPCA_sigmoid;0,2440;0,5488;0,1019;0,2917
256;KPCA_rbf;0,2440;0,5488;0,1019;0,2914
256;KPCA_poly;0,2440;0,5485;0,1017;0,2913
256;KPCA_linear;0,2440;0,5488;0,1018;0,2914
256;KPCA_cosine;0,2372;0,5398;0,1011;0,2876
256;BASE;0,2528;0,5562;0,1041;0,2988
256;AUTOE;0,2396;0,5401;0,0985;0,2843
128;UMAP;0,0453;0,1768;0,0275;0,0734
128;NN;0,2476;0,5515;0,1019;0,2937
128;KPCA_sigmoid;0,2431;0,5488;0,1020;0,2903
128;KPCA_rbf;0,2435;0,5492;0,1022;0,2906
128;KPCA_poly;0,2436;0,5488;0,1023;0,2909
128;KPCA_linear;0,2434;0,5488;0,1021;0,2907
128;KPCA_cosine;0,2386;0,5405;0,1014;0,2863
128;BASE;0,2402;0,5381;0,0996;0,2864
128;AUTOE;0,2026;0,4819;0,0835;0,2442
64;UMAP;0,0578;0,2026;0,0334;0,0831
64;NN;0,2434;0,5472;0,1015;0,2907
64;KPCA_sigmoid;0,2402;0,5418;0,1000;0,2866
64;KPCA_rbf;0,2406;0,5415;0,1001;0,2870
64;KPCA_poly;0,2405;0,5418;0,1001;0,2871
64;KPCA_linear;0,2404;0,5421;0,1001;0,2867
64;KPCA_cosine;0,2361;0,5354;0,1000;0,2833
64;BASE;0,2088;0,5194;0,0923;0,2675
64;AUTOE;0,2211;0,5103;0,0932;0,2629
32;UMAP;0,0224;0,1185;0,0150;0,0357
32;NN;0,2311;0,5328;0,0981;0,2764
32;KPCA_sigmoid;0,2296;0,5261;0,0967;0,2717
32;KPCA_rbf;0,2302;0,5277;0,0972;0,2728
32;KPCA_poly;0,2298;0,5261;0,0969;0,2722
32;KPCA_linear;0,2298;0,5271;0,0969;0,2723
32;KPCA_cosine;0,2248;0,5144;0,0968;0,2675
32;BASE;0,2094;0,5043;0,0900;0,2600
32;AUTOE;0,2026;0,4799;0,0867;0,2420
16;UMAP;0,0146;0,0515;0,0076;0,0195
16;NN;0,2065;0,5040;0,0921;0,2569
16;KPCA_sigmoid;0,2028;0,4946;0,0911;0,2503
16;KPCA_rbf;0,2034;0,4953;0,0914;0,2510
16;KPCA_poly;0,2032;0,4949;0,0913;0,2505
16;KPCA_linear;0,2029;0,4949;0,0912;0,2506
16;KPCA_cosine;0,2016;0,4876;0,0910;0,2480
16;BASE;0,1630;0,4454;0,0761;0,2175
16;AUTOE;0,1887;0,4718;0,0850;0,2304
8;UMAP;0,0012;0,0080;0,0009;0,0012
8;NN;0,1770;0,4454;0,0808;0,2176
8;KPCA_sigmoid;0,1787;0,4527;0,0826;0,2235
8;KPCA_rbf;0,1790;0,4524;0,0827;0,2232
8;KPCA_poly;0,1787;0,4517;0,0825;0,2229
8;KPCA_linear;0,1787;0,4524;0,0826;0,2234
8;KPCA_cosine;0,1773;0,4434;0,0825;0,2221
8;BASE;0,1528;0,4209;0,0719;0,2000
8;AUTOE;0,1502;0,4135;0,0747;0,1963
4;UMAP;0,0094;0,0482;0,0061;0,0119
4;NN;0,1520;0,4002;0,0728;0,1901
4;KPCA_sigmoid;0,1462;0,3931;0,0724;0,1848
4;KPCA_rbf;0,1465;0,3924;0,0725;0,1846
4;KPCA_poly;0,1463;0,3921;0,0724;0,1847
4;KPCA_linear;0,1461;0,3924;0,0724;0,1847
4;KPCA_cosine;0,1455;0,3844;0,0728;0,1839
4;BASE;0,1203;0,3516;0,0574;0,1554
4;AUTOE;0,1272;0,3576;0,0624;0,1629
2;UMAP;0,0123;0,0455;0,0066;0,0150
2;TSNE;0,0264;0,0961;0,0140;0,0357
2;NN;0,1140;0,3292;0,0583;0,1465
2;KPCA_sigmoid;0,1101;0,3188;0,0580;0,1437
2;KPCA_rbf;0,1106;0,3208;0,0584;0,1450
2;KPCA_poly;0,1103;0,3198;0,0581;0,1452
2;KPCA_linear;0,1102;0,3194;0,0580;0,1444
2;KPCA_cosine;0,1226;0,3308;0,0611;0,1530
2;BASE;0,1134;0,3292;0,0544;0,1464
2;AUTOE;0,1061;0,2890;0,0525;0,1250
