|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;1,0;1,0;1,0;"1,0
"
256;BASE;0,6841;0,9992;0,6121;0,6121
128;UMAP;0,1615;0,7637;0,1815;0,1815
128;NN;0,6804;0,9992;0,6084;0,6084
128;KPCA_sigmoid;0,5700;0,9739;0,5073;0,5073
128;KPCA_rbf;0,5701;0,9768;0,5072;0,5072
128;KPCA_poly;0,5701;0,9760;0,5071;0,5071
128;KPCA_linear;0,5701;0,9746;0,5072;0,5072
128;KPCA_cosine;0,5231;0,9760;0,4661;0,4661
128;BASE;0,5895;0,9956;0,5251;0,5251
128;AUTOE;0,2874;0,8695;0,2522;0,2522
64;UMAP;0,0810;0,5181;0,0778;0,0778
64;NN;0,6717;0,9978;0,6008;0,6008
64;KPCA_sigmoid;0,5663;0,9746;0,5033;0,5033
64;KPCA_rbf;0,5661;0,9746;0,5030;0,5030
64;KPCA_poly;0,5661;0,9746;0,5028;0,5028
64;KPCA_linear;0,5663;0,9746;0,5033;0,5033
64;KPCA_cosine;0,5177;0,9710;0,4597;0,4597
64;BASE;0,5505;0,9905;0,4914;0,4914
64;AUTOE;0,2179;0,7514;0,1960;0,1960
32;UMAP;0,0039;0,0195;0,0032;0,0032
32;NN;0,6556;0,9927;0,5863;0,5863
32;KPCA_sigmoid;0,5521;0,9601;0,4916;0,4916
32;KPCA_rbf;0,5522;0,9594;0,4917;0,4917
32;KPCA_poly;0,5526;0,9594;0,4920;0,4920
32;KPCA_linear;0,5522;0,9594;0,4916;0,4916
32;KPCA_cosine;0,5090;0,9630;0,4531;0,4531
32;BASE;0,4701;0,9557;0,4134;0,4134
32;AUTOE;0,3405;0,9231;0,2988;0,2988
16;UMAP;0,0629;0,2637;0,0598;0,0598
16;NN;0,6321;0,9789;0,5650;0,5650
16;KPCA_sigmoid;0,5409;0,9478;0,4823;0,4823
16;KPCA_rbf;0,5409;0,9478;0,4823;0,4823
16;KPCA_poly;0,5411;0,9478;0,4826;0,4826
16;KPCA_linear;0,5411;0,9478;0,4823;0,4823
16;KPCA_cosine;0,5073;0,9420;0,4515;0,4515
16;BASE;0,5123;0,9659;0,4578;0,4578
16;AUTOE;0,3156;0,8420;0,2826;0,2826
8;UMAP;0,1145;0,7014;0,1295;0,1295
8;NN;0,6159;0,9652;0,5476;0,5476
8;KPCA_sigmoid;0,5364;0,9231;0,4784;0,4784
8;KPCA_rbf;0,5369;0,9231;0,4784;0,4784
8;KPCA_poly;0,5371;0,9224;0,4787;0,4787
8;KPCA_linear;0,5367;0,9231;0,4787;0,4787
8;KPCA_cosine;0,5091;0,9275;0,4528;0,4528
8;BASE;0,4192;0,9137;0,3679;0,3679
8;AUTOE;0,4518;0,9217;0,4038;0,4038
4;UMAP;0,2196;0,8072;0,1878;0,1878
4;NN;0,5846;0,9485;0,5145;0,5145
4;KPCA_sigmoid;0,5276;0,9079;0,4699;0,4699
4;KPCA_rbf;0,5278;0,9086;0,4701;0,4701
4;KPCA_poly;0,5274;0,9079;0,4695;0,4695
4;KPCA_linear;0,5275;0,9079;0,4697;0,4697
4;KPCA_cosine;0,5056;0,9043;0,4476;0,4476
4;BASE;0,4504;0,9065;0,3938;0,3938
4;AUTOE;0,2780;0,5173;0,2486;0,2486
2;UMAP;0,0037;0,0195;0,0034;0,0034
2;TSNE;0,0367;0,2123;0,0392;0,0392
2;NN;0,4896;0,8949;0,4302;0,4302
2;KPCA_sigmoid;0,5013;0,8644;0,4395;0,4395
2;KPCA_rbf;0,5014;0,8644;0,4396;0,4396
2;KPCA_poly;0,5016;0,8637;0,4400;0,4400
2;KPCA_linear;0,5014;0,8637;0,4397;0,4397
2;KPCA_cosine;0,4927;0,8623;0,4284;0,4284
2;BASE;0,4154;0,8869;0,3549;0,3549
2;AUTOE;0,1233;0,6;0,0941;0,0941
