model	nDCGRendle2020
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00010773114572400028_l_w=0$012367351864732274	0.05596496227986856
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0001078261019997178_l_w=0$03488057920407358	0.06274663593660672
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00012941900560455415_l_w=8$72604677180653e-05	0.04573603175190983
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00013152613424614775_l_w=0$050841894118403765	0.004227710836569213
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00013628933372898026_l_w=7$593014776428533e-05	0.04800135414503572
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00015135182332990402_l_w=0$008568366632877918	0.0552382367924511
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0001872241074973332_l_w=0$00023849894942834296	0.04001786518646462
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00021132685304409474_l_w=1$1305214369206818e-05	0.054014231870288594
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00040568793683924844_l_w=0$041771428113651136	0.06538630343066111
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0004169080952996497_l_w=0$08242471365171306	0.07097937472291546
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$00048583843647535596_l_w=0$027417213078756473	0.06447617501027211
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0006991053224341034_l_w=1$1929834251589445e-05	0.06393075533645498
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0007843739036451319_l_w=0$041045066466212185	0.06833089336755087
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0010026397804933208_l_w=0$051207327267699713	0.06697312597309983
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0019381363860596589_l_w=0$0001792072090352354	0.06134252990850644
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0026134380702554495_l_w=0$0015318703869567954	0.057308643140754685
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0026931211276183566_l_w=0$0011566152289430296	0.056584085208966614
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0033309615216667206_l_w=0$00013986419355426077	0.05639006638621569
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$0037348555093548886_l_w=7$97943880393211e-05	0.056178427318848895
BPRMF_seed=123_e=200_bs=64_factors=4_lr=0$004269839934809691_l_w=2$2950997815169715e-05	0.05522427553165892
