model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.07540397580060305	0.2528985507246377	0.028478260869565217	0.1098550724637681
AUTOE@16	0.07432391394859134	0.2572463768115942	0.02811594202898551	0.10910628019323669
AUTOE@2	0.07134324308550076	0.24130434782608695	0.02572463768115942	0.10053140096618357
AUTOE@256	0.103364169023849	0.32463768115942027	0.03746376811594203	0.1457246376811594
AUTOE@32	0.0786639031198429	0.2688405797101449	0.029855072463768118	0.11435990338164251
AUTOE@4	0.0715277099663192	0.24057971014492754	0.02579710144927537	0.1001086956521739
AUTOE@64	0.06750760895193661	0.2318840579710145	0.025869565217391307	0.10235507246376811
AUTOE@8	0.03357142505362055	0.14202898550724638	0.015072463768115942	0.0573671497584541
BASE@128	0.10845841204869995	0.3427536231884058	0.03985507246376811	0.15532608695652173
BASE@16	0.09467679345596497	0.30289855072463767	0.034710144927536234	0.1344927536231884
BASE@2	0.0885061571205438	0.3	0.03268115942028985	0.1286352657004831
BASE@256	0.112731212281	0.35	0.04057971014492753	0.15810386473429952
BASE@32	0.09829626076346933	0.3239130434782609	0.0363768115942029	0.14253623188405795
BASE@4	0.08343754182872073	0.2768115942028985	0.030217391304347828	0.11759661835748793
BASE@512	0.11118111775558621	0.35507246376811596	0.04079710144927536	0.1590942028985507
BASE@64	0.10229463773593699	0.3210144927536232	0.037173913043478266	0.14506038647342995
BASE@8	0.09266145613114354	0.3007246376811594	0.034275362318840576	0.1333816425120773
KPCA@128	0.055493012081955735	0.1934782608695652	0.021086956521739128	0.08358695652173913
KPCA@16	0.056085166525393484	0.19927536231884058	0.021304347826086957	0.08456521739130433
KPCA@2	0.041144907992444336	0.1492753623188406	0.015869565217391305	0.06044685990338164
KPCA@32	0.055502375874387055	0.1927536231884058	0.02072463768115942	0.08253623188405797
KPCA@4	0.04974830795057052	0.18188405797101448	0.01927536231884058	0.07490338164251208
KPCA@64	0.0538203163387844	0.186231884057971	0.020434782608695655	0.08018115942028985
KPCA@8	0.05278829971482155	0.18695652173913044	0.019710144927536234	0.07903381642512076
KPCA_cosine@128	0.07011403499341237	0.2398550724637681	0.02644927536231884	0.10448067632850241
KPCA_cosine@16	0.07392651576750242	0.24855072463768116	0.02768115942028986	0.10845410628019322
KPCA_cosine@2	0.05573257811619748	0.20507246376811594	0.021956521739130434	0.08307971014492753
KPCA_cosine@256	0.06959012070837056	0.23840579710144927	0.026521739130434784	0.1045048309178744
KPCA_cosine@32	0.07443845158957031	0.24710144927536232	0.0277536231884058	0.1093719806763285
KPCA_cosine@4	0.06733440987078795	0.23623188405797102	0.025579710144927534	0.09759661835748792
KPCA_cosine@64	0.07246704761510446	0.24420289855072463	0.026956521739130438	0.10438405797101451
KPCA_cosine@8	0.06988266309598502	0.24420289855072463	0.027463768115942033	0.10729468599033816
KPCA_linear@128	0.09149242376942006	0.2985507246376812	0.033768115942028984	0.132475845410628
KPCA_linear@16	0.09035473349529081	0.2942028985507246	0.033768115942028984	0.1305917874396135
KPCA_linear@2	0.06832927288762976	0.23695652173913043	0.025579710144927534	0.09753623188405797
KPCA_linear@256	0.09022723504791533	0.2927536231884058	0.033405797101449274	0.1301207729468599
KPCA_linear@32	0.09352577145210743	0.30217391304347824	0.03456521739130435	0.13554347826086954
KPCA_linear@4	0.08285157352216901	0.27318840579710146	0.031014492753623186	0.11903381642512076
KPCA_linear@64	0.09202131260496584	0.2985507246376812	0.034275362318840576	0.13455314009661837
KPCA_linear@8	0.08693730137673787	0.28405797101449276	0.032463768115942024	0.12625603864734297
KPCA_poly@128	0.0913791303412788	0.2985507246376812	0.033768115942028984	0.1323550724637681
KPCA_poly@16	0.09079292254775773	0.2956521739130435	0.03391304347826087	0.13107487922705313
KPCA_poly@2	0.06813619201300279	0.23695652173913043	0.025579710144927534	0.09753623188405797
KPCA_poly@256	0.09084138055753445	0.2927536231884058	0.0336231884057971	0.13084541062801933
KPCA_poly@32	0.09336507081096167	0.30144927536231886	0.034420289855072464	0.13499999999999998
KPCA_poly@4	0.08276229892077146	0.27246376811594203	0.03094202898550725	0.11879227053140094
KPCA_poly@64	0.09232664963638657	0.3	0.03434782608695652	0.1348550724637681
KPCA_poly@8	0.08709643695823234	0.28405797101449276	0.03239130434782609	0.12601449275362317
KPCA_rbf@128	0.09103637872964507	0.29782608695652174	0.03369565217391304	0.13229468599033817
KPCA_rbf@16	0.09018079316272652	0.2927536231884058	0.033550724637681155	0.12992753623188405
KPCA_rbf@2	0.0673217309423147	0.23550724637681159	0.025362318840579715	0.09669082125603863
KPCA_rbf@256	0.08935889603840189	0.29130434782608694	0.033188405797101445	0.1296376811594203
KPCA_rbf@32	0.0932988934339397	0.30217391304347824	0.03456521739130435	0.13542270531400966
KPCA_rbf@4	0.083315736593493	0.2753623188405797	0.03130434782608696	0.12024154589371981
KPCA_rbf@64	0.09093988507512274	0.2956521739130435	0.033768115942028984	0.1326207729468599
KPCA_rbf@8	0.08684219580400372	0.2833333333333333	0.03239130434782609	0.12589371980676328
KPCA_sigmoid@128	0.09151830133199897	0.3	0.03384057971014493	0.13271739130434781
KPCA_sigmoid@16	0.09029565688913385	0.2942028985507246	0.033768115942028984	0.1305917874396135
KPCA_sigmoid@2	0.06798456608269403	0.23623188405797102	0.02543478260869566	0.09693236714975845
KPCA_sigmoid@256	0.09018368063246386	0.2927536231884058	0.033405797101449274	0.1301207729468599
KPCA_sigmoid@32	0.09340542425328517	0.30144927536231886	0.03449275362318841	0.13506038647342994
KPCA_sigmoid@4	0.08267753910320437	0.27318840579710146	0.031014492753623186	0.11903381642512076
KPCA_sigmoid@64	0.09174980863730285	0.29782608695652174	0.034130434782608694	0.1338888888888889
KPCA_sigmoid@8	0.08727309377793095	0.2855072463768116	0.03268115942028985	0.1272222222222222
NN@128	0.1095464567982169	0.34782608695652173	0.039999999999999994	0.15574879227053137
NN@16	0.10761926294936658	0.35	0.03978260869565217	0.1542270531400966
NN@2	0.08871210795921831	0.29130434782608694	0.0322463768115942	0.12589371980676328
NN@256	0.1106517676194307	0.35	0.04036231884057971	0.15716183574879228
NN@32	0.10951902985071153	0.35434782608695653	0.04079710144927536	0.1585869565217391
NN@4	0.09508301101268775	0.31666666666666665	0.035434782608695654	0.13805555555555554
NN@64	0.11050508427849019	0.3536231884057971	0.04079710144927536	0.15915458937198068
NN@8	0.10591999675923254	0.3398550724637681	0.0386231884057971	0.15007246376811592
TSNE@2	0.009945115138950538	0.03840579710144928	0.00427536231884058	0.017028985507246377
UMAP@128	0.00499201751412556	0.021014492753623187	0.002101449275362319	0.008454106280193234
UMAP@16	0.00494204371412971	0.025362318840579712	0.0025362318840579713	0.009504830917874397
UMAP@2	0.006935918464506822	0.02463768115942029	0.0027536231884057972	0.01105072463768116
UMAP@256	0.0038692799699606133	0.016666666666666666	0.0016666666666666666	0.0064009661835748785
UMAP@32	0.004433736701721621	0.01956521739130435	0.001956521739130435	0.007185990338164251
UMAP@4	0.01049046833733971	0.04420289855072464	0.004710144927536232	0.01798309178743961
UMAP@64	0.00574429401522	0.01884057971014493	0.002173913043478261	0.008152173913043478
UMAP@8	0.004656373813523183	0.020289855072463767	0.002101449275362319	0.008393719806763284
