model	nDCGRendle2020
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00011388433232918851_l_w=0$046479868886747114	0.14083535427926228
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0001725113514931228_l_w=0$00016407980848067588	0.1260410810334536
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00017493040844291372_l_w=0$0003561699543169031	0.12353635263000819
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00017867647925274888_l_w=0$017262967142116573	0.13270315631978824
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0002065693917919363_l_w=0$009443702688597655	0.13081526789020215
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0002292916142834612_l_w=0$039534748160028194	0.13871186533502894
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00024934438355709134_l_w=3$3242390376089864e-05	0.13000244210154216
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00025710837696576766_l_w=0$014814373200544878	0.1324148398470329
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$000352675391757803_l_w=0$009970338720899754	0.13168720662777111
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00043330573771235717_l_w=0$0331391883545839	0.13775085681548616
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0013209574752188872_l_w=6$84831473858974e-05	0.12856592418915097
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0015099688261484988_l_w=0$004122247413029923	0.12770479524280015
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0018362366655931806_l_w=9$788902029962336e-05	0.12580176258731887
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0023524347798149618_l_w=0$0003629889102404384	0.12634060584096907
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0025834413907031527_l_w=0$006107207081823904	0.1258956473057249
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$0029454015458486786_l_w=0$0002770091026971065	0.12458874621885249
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$003739557460498168_l_w=0$025803016713538157	0.13959476362076415
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$00399560861250965_l_w=6$754853485288228e-05	0.11949015523115449
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$004160080239167424_l_w=6$442453095126684e-05	0.11996773633060179
BPRMF_seed=123_e=200_bs=256_factors=8_lr=0$004250078801463418_l_w=0$05993472872034193	0.14523577519468903
