model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.20775497019751474	0.46885465505693236	0.08402545210984594	0.24129319280153558
AUTOE@16	0.18828362422742587	0.46048225050234426	0.08292029470864033	0.22655860390278576
AUTOE@2	0.09264526408413973	0.2709310113864702	0.04735432016075017	0.11403675855747526
AUTOE@256	0.21830320610051152	0.4986604152712659	0.09012056262558607	0.25584688176002623
AUTOE@32	0.2072218067733217	0.47655726724715336	0.08650368385800403	0.24133562664546607
AUTOE@4	0.12756450678209907	0.35130609511051575	0.061888814467515076	0.15786117345665848
AUTOE@64	0.21990385968424145	0.4943067649028801	0.09142665773610181	0.2589718552939437
AUTOE@8	0.15165185540549933	0.4015405224380442	0.06795043536503685	0.18499465528223297
BASE@128	0.2390179796843119	0.5405224380442063	0.09886135298057604	0.284216357450142
BASE@16	0.18993208860387711	0.4708640321500335	0.08466175485599464	0.24011725771130005
BASE@2	0.11731784534240387	0.3415941058271936	0.05656396517079706	0.15354327037317664
BASE@256	0.2531315575321344	0.5612860013395847	0.1047890154052244	0.29996496103791875
BASE@32	0.2018840591120988	0.4855994641661085	0.08693904889484261	0.24952992787950593
BASE@4	0.13874742033348492	0.38010716677829876	0.06463496316141996	0.1759246503804531
BASE@512	0.2595560592542673	0.5626255860683188	0.10736771600803752	0.30400709557183675
BASE@64	0.22958608544819548	0.5284661754855995	0.09614869390488949	0.27685566083435836
BASE@8	0.16331755819964577	0.42364367046215673	0.0731748158070998	0.20875251291584784
KPCA_cosine@128	0.19044376375173702	0.4658405894172806	0.07950435365036838	0.22581711403692456
KPCA_cosine@16	0.1654859952415766	0.426992632283992	0.0731078365706631	0.20284082249089344
KPCA_cosine@2	0.07843320053940289	0.23409243134628266	0.04420629604822505	0.09812386954473021
KPCA_cosine@256	0.18817622216578864	0.4608171466845278	0.07953784326858673	0.22418103062139963
KPCA_cosine@32	0.1852100628874722	0.4531145344943068	0.0782987273945077	0.22062640291554117
KPCA_cosine@4	0.09731969309288649	0.2883456128600134	0.05247823174815807	0.12007413387087768
KPCA_cosine@64	0.19212765585039673	0.46651038178164767	0.0803415941058272	0.22923694010662715
KPCA_cosine@8	0.1322075157959274	0.3663764233087743	0.06282652377762893	0.16597023670737626
KPCA_linear@128	0.24039330390019276	0.5334896182183523	0.09949765572672473	0.2804331916063194
KPCA_linear@16	0.21185350192732877	0.49229738780977894	0.09072337575351642	0.25200017149840187
KPCA_linear@2	0.09526633265945425	0.3057602143335566	0.05378432685867382	0.12756581048174945
KPCA_linear@256	0.2410251953805503	0.5338245144005358	0.09966510381781649	0.2810989578492643
KPCA_linear@32	0.2297844129540273	0.5097119892833222	0.09601473543201607	0.26896154331507616
KPCA_linear@4	0.13848168590788384	0.37608841259209647	0.06848626925653048	0.17228757822617902
KPCA_linear@64	0.23777490309442767	0.5267916945746819	0.09859343603482922	0.2784683309275814
KPCA_linear@8	0.17706391223814205	0.4454119223040857	0.08084393837910248	0.21785861833208928
KPCA_poly@128	0.24119446328183958	0.5348292029470864	0.09973208305425318	0.2811113985890455
KPCA_poly@16	0.21245910944374874	0.4936369725385131	0.09102478231748158	0.25255814830897494
KPCA_poly@2	0.09588012839975041	0.30643000669792364	0.05398526456798392	0.12801799218018559
KPCA_poly@256	0.24121082702818653	0.5341594105827193	0.09969859343603485	0.2806624340658362
KPCA_poly@32	0.22996925188643108	0.5097119892833222	0.09611520428667113	0.2689992745658844
KPCA_poly@4	0.1390833495712458	0.37575351640991295	0.06855324849296718	0.17235879665479528
KPCA_poly@64	0.23850502262559167	0.5277963831212324	0.09882786336235767	0.279361524970393
KPCA_poly@8	0.17737315098290293	0.44440723375753516	0.08087742799732082	0.21774419546984322
KPCA_rbf@128	0.23707102793992335	0.5277963831212324	0.09819156061620898	0.2762643843145015
KPCA_rbf@16	0.21106578241939905	0.4912926992632284	0.09038847957133288	0.2512963454741552
KPCA_rbf@2	0.09449842856647894	0.2997320830542532	0.05341594105827194	0.12472154212300912
KPCA_rbf@256	0.23731115874656494	0.5308104487608841	0.0983255190890824	0.2767961812560212
KPCA_rbf@32	0.2292451300406298	0.5093770931011387	0.09578030810448761	0.26754759568725855
KPCA_rbf@4	0.13622319989820128	0.37307434695244474	0.06798392498325519	0.17021873796742007
KPCA_rbf@64	0.23544553104318744	0.5231078365706631	0.09778968519758875	0.27558771658347075
KPCA_rbf@8	0.17452254565803113	0.4413931681178835	0.08007367716008038	0.21511982475253566
KPCA_sigmoid@128	0.24014429313605584	0.5328198258539852	0.09946416610850636	0.28015355849848805
KPCA_sigmoid@16	0.21178416639318567	0.4919624916275954	0.09055592766242464	0.2520789784174633
KPCA_sigmoid@2	0.09483733135426142	0.30509042196918956	0.05368385800401876	0.12726207824985244
KPCA_sigmoid@256	0.24049036412473598	0.5341594105827193	0.09949765572672473	0.2810368076162185
KPCA_sigmoid@32	0.22971036708130044	0.5100468854655057	0.09604822505023443	0.26921411085247293
KPCA_sigmoid@4	0.13811834202243578	0.37575351640991295	0.06848626925653048	0.17219676176775234
KPCA_sigmoid@64	0.23746098337290858	0.5261219022103149	0.09835900870730076	0.27794016303342006
KPCA_sigmoid@8	0.17676262063129536	0.44608171466845276	0.08087742799732082	0.2179004803548622
NN@128	0.2576090859444901	0.5622906898861353	0.10713328868050906	0.3031699055897022
NN@16	0.21981126589964647	0.5127260549229739	0.09554588077695915	0.2653553883927539
NN@2	0.10914311556850136	0.3322170127260549	0.05927662424648359	0.14518875716796986
NN@256	0.2586387409831834	0.5639651707970529	0.10713328868050903	0.30348801960331856
NN@32	0.24140855785555598	0.5405224380442063	0.10217682518419291	0.2867389847181734
NN@4	0.15422083343817497	0.40221031480241126	0.07404554588077697	0.1886814289989375
NN@64	0.2535274746944841	0.5643000669792364	0.10663094440723377	0.30164795911270476
