model	nDCGRendle2020
LightGCN_seed=123_e=200_bs=64_lr=0$00011388433232918851_factors=8_l_w=0$046479868886747114_n_layers=3	0.0809987429471446
LightGCN_seed=123_e=200_bs=64_lr=0$0001725113514931228_factors=8_l_w=0$00016407980848067588_n_layers=3	0.07955750476353993
LightGCN_seed=123_e=200_bs=64_lr=0$00017493040844291372_factors=8_l_w=0$0003561699543169031_n_layers=3	0.08928863708422533
LightGCN_seed=123_e=200_bs=64_lr=0$00017867647925274888_factors=8_l_w=0$017262967142116573_n_layers=3	0.0819867652293186
LightGCN_seed=123_e=200_bs=64_lr=0$0002065693917919363_factors=8_l_w=0$009443702688597655_n_layers=3	0.08280638163684531
LightGCN_seed=123_e=200_bs=64_lr=0$0002292916142834612_factors=8_l_w=0$039534748160028194_n_layers=3	0.08123059693737632
LightGCN_seed=123_e=200_bs=64_lr=0$00024934438355709134_factors=8_l_w=3$3242390376089864e-05_n_layers=3	0.0825245997171061
LightGCN_seed=123_e=200_bs=64_lr=0$00025710837696576766_factors=8_l_w=0$014814373200544878_n_layers=3	0.0901817674804039
LightGCN_seed=123_e=200_bs=64_lr=0$000352675391757803_factors=8_l_w=0$009970338720899754_n_layers=3	0.09307690809590989
LightGCN_seed=123_e=200_bs=64_lr=0$00043330573771235717_factors=8_l_w=0$0331391883545839_n_layers=3	0.08345769246300842
LightGCN_seed=123_e=200_bs=64_lr=0$0013209574752188872_factors=8_l_w=6$84831473858974e-05_n_layers=3	0.08837377894662868
LightGCN_seed=123_e=200_bs=64_lr=0$0015099688261484988_factors=8_l_w=0$004122247413029923_n_layers=3	0.09428000122915528
LightGCN_seed=123_e=200_bs=64_lr=0$0018362366655931806_factors=8_l_w=9$788902029962336e-05_n_layers=3	0.08950797843074676
LightGCN_seed=123_e=200_bs=64_lr=0$0023524347798149618_factors=8_l_w=0$0003629889102404384_n_layers=3	0.09017343014482387
LightGCN_seed=123_e=200_bs=64_lr=0$0025834413907031527_factors=8_l_w=0$006107207081823904_n_layers=3	0.08896058487195041
LightGCN_seed=123_e=200_bs=64_lr=0$0029454015458486786_factors=8_l_w=0$0002770091026971065_n_layers=3	0.08504536305749913
LightGCN_seed=123_e=200_bs=64_lr=0$003739557460498168_factors=8_l_w=0$025803016713538157_n_layers=3	0.08668450364657848
LightGCN_seed=123_e=200_bs=64_lr=0$00399560861250965_factors=8_l_w=6$754853485288228e-05_n_layers=3	0.08430473683304238
LightGCN_seed=123_e=200_bs=64_lr=0$004160080239167424_factors=8_l_w=6$442453095126684e-05_n_layers=3	0.08386228449284183
LightGCN_seed=123_e=200_bs=64_lr=0$004250078801463418_factors=8_l_w=0$05993472872034193_n_layers=3	0.08707073675659525
