model	nDCGRendle2020
LightGCN_seed=123_e=200_bs=256_lr=0$0001095050831578516_factors=256_l_w=0$009707538210675435_n_layers=3	0.24656202148144085
LightGCN_seed=123_e=200_bs=256_lr=0$0001621655423960941_factors=256_l_w=0$011338191975355821_n_layers=3	0.24858845555249737
LightGCN_seed=123_e=200_bs=256_lr=0$00017718610865854784_factors=256_l_w=0$004153931936854083_n_layers=3	0.25072202345351424
LightGCN_seed=123_e=200_bs=256_lr=0$00023943802728430358_factors=256_l_w=0$036325014450712435_n_layers=3	0.25481486950996757
LightGCN_seed=123_e=200_bs=256_lr=0$00046083949100544284_factors=256_l_w=0$0022183898072497647_n_layers=3	0.24923637550544214
LightGCN_seed=123_e=200_bs=256_lr=0$0005244728080572735_factors=256_l_w=0$022795729934465717_n_layers=3	0.246982956997624
LightGCN_seed=123_e=200_bs=256_lr=0$000581295268049958_factors=256_l_w=0$07812719644660297_n_layers=3	0.25238015795641083
LightGCN_seed=123_e=200_bs=256_lr=0$0006998651956253803_factors=256_l_w=3$6020808337455827e-05_n_layers=3	0.23906840585971928
LightGCN_seed=123_e=200_bs=256_lr=0$0011667276478594735_factors=256_l_w=0$00017695459433136735_n_layers=3	0.23468674056083724
LightGCN_seed=123_e=200_bs=256_lr=0$0011824408879467648_factors=256_l_w=0$0005974739929940317_n_layers=3	0.23453909272507797
LightGCN_seed=123_e=200_bs=256_lr=0$001432032615475456_factors=256_l_w=4$0572602956545346e-05_n_layers=3	0.23484048303271984
LightGCN_seed=123_e=200_bs=256_lr=0$0018159576456402533_factors=256_l_w=0$0001239357148756001_n_layers=3	0.23084589663139432
LightGCN_seed=123_e=200_bs=256_lr=0$0019866179067925703_factors=256_l_w=0$006884846265676348_n_layers=3	0.22951768517948082
LightGCN_seed=123_e=200_bs=256_lr=0$002240327787786238_factors=256_l_w=4$589313503255191e-05_n_layers=3	0.22632936526220856
LightGCN_seed=123_e=200_bs=256_lr=0$0024186437099136654_factors=256_l_w=8$494876846544014e-05_n_layers=3	0.2245018136440078
LightGCN_seed=123_e=200_bs=256_lr=0$0028321136546659784_factors=256_l_w=0$0004544613732867371_n_layers=3	0.22307434387626224
LightGCN_seed=123_e=200_bs=256_lr=0$003210828537879552_factors=256_l_w=0$09849407273290525_n_layers=3	0.22774804505827678
LightGCN_seed=123_e=200_bs=256_lr=0$0033756595688829087_factors=256_l_w=0$0049227321382841124_n_layers=3	0.21887888551110687
LightGCN_seed=123_e=200_bs=256_lr=0$0035933387256439323_factors=256_l_w=7$766838211455577e-05_n_layers=3	0.2177120815894215
LightGCN_seed=123_e=200_bs=256_lr=0$004972666482034102_factors=256_l_w=0$005832897459991942_n_layers=3	0.21119336856826926
