|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
512;BASE;0,2529;0,5622;0,1049;0,2988
256;UMAP;0,0058;0,0194;0,0029;0,0061
256;NN;0,2545;0,5669;0,1058;0,3013
256;KPCA_sigmoid;0,2402;0,5308;0,0986;0,2809
256;KPCA_rbf;0,2369;0,5261;0,0975;0,2766
256;KPCA_poly;0,2406;0,5311;0,0987;0,2812
256;KPCA_linear;0,2405;0,5321;0,0988;0,2815
256;KPCA_cosine;0,1906;0,4738;0,0811;0,2283
256;BASE;0,2442;0,5512;0,1019;0,2912
256;AUTOE;0,2292;0,5090;0,0954;0,2686
128;UMAP;0,0058;0,0190;0,0028;0,0058
128;NN;0,2522;0,5579;0,1054;0,2986
128;KPCA_sigmoid;0,2405;0,5294;0,0986;0,2807
128;KPCA_rbf;0,2384;0,5274;0,0977;0,2786
128;KPCA_poly;0,2416;0,5318;0,0992;0,2824
128;KPCA_linear;0,2409;0,5304;0,0989;0,2818
128;KPCA_cosine;0,1917;0,4748;0,0814;0,2301
128;BASE;0,2334;0,5288;0,0980;0,2772
128;AUTOE;0,2101;0,4772;0,0866;0,2465
64;UMAP;0,0059;0,0197;0,0029;0,0062
64;NN;0,2456;0,5519;0,1035;0,2936
64;KPCA_sigmoid;0,2349;0,5237;0,0981;0,2780
64;KPCA_rbf;0,2334;0,5210;0,0978;0,2760
64;KPCA_poly;0,2359;0,5261;0,0986;0,2797
64;KPCA_linear;0,2352;0,5251;0,0983;0,2789
64;KPCA_cosine;0,1909;0,4671;0,0810;0,2292
64;BASE;0,2315;0,5314;0,0976;0,2806
64;AUTOE;0,2183;0,4933;0,0915;0,2609
32;UMAP;0,0068;0,0257;0,0035;0,0079
32;NN;0,2356;0,5321;0,0996;0,2817
32;KPCA_sigmoid;0,2252;0,5050;0,0942;0,2661
32;KPCA_rbf;0,2240;0,5006;0,0937;0,2629
32;KPCA_poly;0,2261;0,5053;0,0942;0,2662
32;KPCA_linear;0,2254;0,5046;0,0942;0,2660
32;KPCA_cosine;0,1817;0,4504;0,0782;0,2199
32;BASE;0,2055;0,4946;0,0881;0,2534
32;AUTOE;0,2044;0,4671;0,0866;0,2412
16;UMAP;0,0075;0,0354;0,0048;0,0082
16;NN;0,2180;0,5130;0,0947;0,2635
16;KPCA_sigmoid;0,2121;0,4906;0,0903;0,2510
16;KPCA_rbf;0,2113;0,4879;0,0896;0,2492
16;KPCA_poly;0,2127;0,4906;0,0903;0,2516
16;KPCA_linear;0,2125;0,4916;0,0904;0,2516
16;KPCA_cosine;0,1643;0,4269;0,0735;0,2005
16;BASE;0,1987;0,4879;0,0878;0,2510
16;AUTOE;0,1964;0,4668;0,0859;0,2373
8;UMAP;0,0270;0,1111;0,0172;0,0313
8;NN;0,1929;0,4698;0,0864;0,2334
8;KPCA_sigmoid;0,1793;0,4450;0,0815;0,2192
8;KPCA_rbf;0,1771;0,4410;0,0806;0,2147
8;KPCA_poly;0,1799;0,4457;0,0815;0,2195
8;KPCA_linear;0,1795;0,4467;0,0817;0,2200
8;KPCA_cosine;0,1316;0,3727;0,0633;0,1669
8;BASE;0,1597;0,4239;0,0734;0,2030
8;AUTOE;0,1629;0,4102;0,0736;0,2019
4;UMAP;0,0058;0,0160;0,0037;0,0066
4;NN;0,1571;0,4018;0,0742;0,1908
4;KPCA_sigmoid;0,1416;0,3757;0,0684;0,1737
4;KPCA_rbf;0,1393;0,3737;0,0680;0,1711
4;KPCA_poly;0,1420;0,3777;0,0687;0,1743
4;KPCA_linear;0,1416;0,3767;0,0685;0,1740
4;KPCA_cosine;0,0984;0,2977;0,0533;0,1230
4;BASE;0,1352;0,3804;0,0634;0,1746
4;AUTOE;0,1361;0,3633;0,0629;0,1696
2;UMAP;0,0570;0,2294;0,0398;0,0994
2;TSNE;0,0143;0,0579;0,0074;0,0241
2;NN;0,1159;0,3385;0,0598;0,1485
2;KPCA_sigmoid;0,1022;0,3077;0,0536;0,1268
2;KPCA_rbf;0,1021;0,3064;0,0539;0,1267
2;KPCA_poly;0,1038;0,3121;0,0546;0,1300
2;KPCA_linear;0,1030;0,3104;0,0541;0,1284
2;KPCA_cosine;0,0807;0,2454;0,0447;0,1000
2;BASE;0,1228;0,3432;0,0581;0,1568
2;AUTOE;0,1082;0,2910;0,0526;0,1320
