model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.09614842381768919	0.3101449275362319	0.034782608695652174	0.1360990338164251
AUTOE@16	0.07472181511242487	0.2579710144927536	0.027971014492753625	0.10908212560386471
AUTOE@2	0.0741877827860019	0.2528985507246377	0.027463768115942033	0.10596618357487922
AUTOE@32	0.0760879842972611	0.2572463768115942	0.02768115942028986	0.10835748792270529
AUTOE@4	0.07049558242836346	0.2246376811594203	0.024420289855072465	0.09545893719806763
AUTOE@64	0.060457884467321525	0.21594202898550724	0.023768115942028982	0.09428743961352655
AUTOE@8	0.06624175766843475	0.22971014492753622	0.025072463768115942	0.09785024154589372
BASE@128	0.10431838985971671	0.32753623188405795	0.03797101449275363	0.1480072463768116
BASE@16	0.09068942815053432	0.2927536231884058	0.033188405797101445	0.12855072463768114
BASE@2	0.003848286664131128	0.015942028985507246	0.0015942028985507248	0.0064009661835748785
BASE@256	0.10546013121934661	0.3239130434782609	0.03739130434782609	0.1464855072463768
BASE@32	0.09428331941055285	0.3101449275362319	0.034710144927536234	0.13555555555555554
BASE@4	0.0837317603533563	0.27608695652173915	0.030579710144927538	0.11940821256038645
BASE@64	0.09497929335387002	0.3065217391304348	0.03485507246376812	0.1356159420289855
BASE@8	0.0844965637265774	0.2826086956521739	0.0313768115942029	0.12291062801932368
KPCA@128	0.055493012081955735	0.1934782608695652	0.021086956521739128	0.08358695652173913
KPCA@16	0.056085166525393484	0.19927536231884058	0.021304347826086957	0.08456521739130433
KPCA@2	0.041144907992444336	0.1492753623188406	0.015869565217391305	0.06044685990338164
KPCA@32	0.055502375874387055	0.1927536231884058	0.02072463768115942	0.08253623188405797
KPCA@4	0.04974830795057052	0.18188405797101448	0.01927536231884058	0.07490338164251208
KPCA@64	0.0538203163387844	0.186231884057971	0.020434782608695655	0.08018115942028985
KPCA@8	0.05278829971482155	0.18695652173913044	0.019710144927536234	0.07903381642512076
KPCA_cosine@128	0.055493012081955735	0.1934782608695652	0.021086956521739128	0.08358695652173913
KPCA_cosine@16	0.056085166525393484	0.19927536231884058	0.021304347826086957	0.08456521739130433
KPCA_cosine@2	0.041144907992444336	0.1492753623188406	0.015869565217391305	0.06044685990338164
KPCA_cosine@32	0.055502375874387055	0.1927536231884058	0.02072463768115942	0.08253623188405797
