|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
256;BASE;0,1054;0,3239;0,0373;0,1464
128;UMAP;0,0051;0,0260;0,0026;0,0101
128;NN;0,0946;0,2985;0,0334;0,1299
128;KPCA_sigmoid;0,0834;0,2608;0,0292;0,1143
128;KPCA_rbf;0,0823;0,2579;0,0289;0,1138
128;KPCA_poly;0,0837;0,2608;0,0292;0,1144
128;KPCA_linear;0,0836;0,2615;0,0293;0,1149
128;KPCA_cosine;0,0554;0,1934;0,0210;0,0835
128;KPCA;0,0554;0,1934;0,0210;0,0835
128;BASE;0,1043;0,3275;0,0379;0,1480
128;AUTOE;0,0931;0,3086;0,0344;0,1354
64;UMAP;0,0136;0,0391;0,0039;0,0166
64;NN;0,0891;0,2862;0,0313;0,1218
64;KPCA_sigmoid;0,0830;0,2623;0,0291;0,1140
64;KPCA_rbf;0,0818;0,2586;0,0287;0,1127
64;KPCA_poly;0,0832;0,2637;0,0294;0,1153
64;KPCA_linear;0,0834;0,2644;0,0294;0,1152
64;KPCA_cosine;0,0538;0,1862;0,0204;0,0801
64;KPCA;0,0538;0,1862;0,0204;0,0801
64;BASE;0,0949;0,3065;0,0348;0,1356
64;AUTOE;0,0634;0,2188;0,0240;0,0944
32;UMAP;0,0091;0,0384;0,0038;0,0143
32;NN;0,0877;0,2811;0,0307;0,1197
32;KPCA_sigmoid;0,0815;0,2652;0,0291;0,1147
32;KPCA_rbf;0,0809;0,2608;0,0287;0,1131
32;KPCA_poly;0,0827;0,2702;0,0297;0,1171
32;KPCA_linear;0,0823;0,2681;0,0294;0,1159
32;KPCA_cosine;0,0555;0,1927;0,0207;0,0825
32;KPCA;0,0555;0,1927;0,0207;0,0825
32;BASE;0,0942;0,3101;0,0347;0,1355
32;AUTOE;0,0682;0,2282;0,0251;0,0977
16;UMAP;0,0108;0,0442;0,0044;0,0191
16;NN;0,0862;0,2833;0,0310;0,1205
16;KPCA_sigmoid;0,0812;0,2673;0,0296;0,1157
16;KPCA_rbf;0,0806;0,2681;0,0294;0,1153
16;KPCA_poly;0,0818;0,2681;0,0297;0,1159
16;KPCA_linear;0,0814;0,2681;0,0297;0,1159
16;KPCA_cosine;0,0560;0,1992;0,0213;0,0845
16;KPCA;0,0560;0,1992;0,0213;0,0845
16;BASE;0,0906;0,2927;0,0331;0,1285
16;AUTOE;0,0615;0,2144;0,0236;0,0928
8;UMAP;0,0517;0,1760;0,0187;0,0733
8;NN;0,0754;0,2550;0,0276;0,1064
8;KPCA_sigmoid;0,0758;0,2528;0,0278;0,1079
8;KPCA_rbf;0,0748;0,2521;0,0276;0,1071
8;KPCA_poly;0,0757;0,2543;0,0280;0,1083
8;KPCA_linear;0,0759;0,2528;0,0278;0,1079
8;KPCA_cosine;0,0527;0,1869;0,0197;0,0790
8;KPCA;0,0527;0,1869;0,0197;0,0790
8;BASE;0,0844;0,2826;0,0313;0,1229
8;AUTOE;0,0707;0,2413;0,0264;0,1038
4;UMAP;0,0126;0,0557;0,0055;0,0223
4;NN;0,0771;0,2623;0,0283;0,1097
4;KPCA_sigmoid;0,0737;0,2463;0,0275;0,1064
4;KPCA_rbf;0,0724;0,2413;0,0268;0,1037
4;KPCA_poly;0,0743;0,2478;0,0277;0,1072
4;KPCA_linear;0,0739;0,2478;0,0276;0,1068
4;KPCA_cosine;0,0497;0,1818;0,0192;0,0749
4;KPCA;0,0497;0,1818;0,0192;0,0749
4;BASE;0,0837;0,2760;0,0305;0,1194
4;AUTOE;0,0763;0,2594;0,0281;0,1095
2;UMAP;0,0079;0,0297;0,0033;0,0133
2;TSNE;0,0094;0,0318;0,0036;0,0136
2;NN;0,0770;0,2601;0,0281;0,1089
2;KPCA_sigmoid;0,0592;0,2086;0,0224;0,0851
2;KPCA_rbf;0,0585;0,2072;0,0222;0,0843
2;KPCA_poly;0,0596;0,2094;0,0224;0,0852
2;KPCA_linear;0,0593;0,2086;0,0224;0,0851
2;KPCA_cosine;0,0411;0,1492;0,0158;0,0604
2;KPCA;0,0411;0,1492;0,0158;0,0604
2;BASE;0,0038;0,0159;0,0015;0,0064
2;AUTOE;0,0692;0,2405;0,0257;0,1003
