|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
128;NN;0,106;0,3304;0,038;0,1496
64;NN;0,1058;0,3304;0,0379;0,1487
256;BASE;0,1054;0,3239;0,0373;0,1464
32;NN;0,1053;0,3297;0,0378;0,1481
128;BASE;0,1043;0,3275;0,0379;0,148
16;NN;0,1009;0,3166;0,036;0,1415
8;NN;0,1;0,3173;0,0357;0,14
64;BASE;0,0949;0,3065;0,0348;0,1356
32;BASE;0,0942;0,3101;0,0347;0,1355
128;AUTOE;0,094;0,3057;0,0342;0,135
4;NN;0,0937;0,3021;0,0337;0,1308
16;BASE;0,0906;0,2927;0,0331;0,1285
2;NN;0,0875;0,2818;0,0308;0,12
8;BASE;0,0844;0,2826;0,0313;0,1229
4;BASE;0,0837;0,276;0,0305;0,1194
128;KPCA_poly;0,0837;0,2608;0,0292;0,1144
128;KPCA_linear;0,0836;0,2615;0,0293;0,1149
64;KPCA_linear;0,0834;0,2644;0,0294;0,1152
128;KPCA_sigmoid;0,0834;0,2608;0,0292;0,1143
64;KPCA_poly;0,0832;0,2637;0,0294;0,1153
64;KPCA_sigmoid;0,083;0,2623;0,0291;0,114
32;KPCA_poly;0,0827;0,2702;0,0297;0,1171
32;KPCA_linear;0,0823;0,2681;0,0294;0,1159
128;KPCA_rbf;0,0823;0,2579;0,0289;0,1138
16;KPCA_poly;0,0818;0,2681;0,0297;0,1159
64;KPCA_rbf;0,0818;0,2586;0,0287;0,1127
32;KPCA_sigmoid;0,0815;0,2652;0,0291;0,1147
16;KPCA_linear;0,0814;0,2681;0,0297;0,1159
16;KPCA_sigmoid;0,0812;0,2673;0,0296;0,1157
32;KPCA_rbf;0,0809;0,2608;0,0287;0,1131
16;KPCA_rbf;0,0806;0,2681;0,0294;0,1153
16;AUTOE;0,0788;0,2615;0,0292;0,1141
32;AUTOE;0,0776;0,2594;0,0286;0,1124
8;KPCA_linear;0,0759;0,2528;0,0278;0,1079
8;KPCA_sigmoid;0,0758;0,2528;0,0278;0,1079
8;KPCA_poly;0,0757;0,2543;0,028;0,1083
8;KPCA_rbf;0,0748;0,2521;0,0276;0,1071
4;KPCA_poly;0,0743;0,2478;0,0277;0,1072
4;KPCA_linear;0,0739;0,2478;0,0276;0,1068
4;KPCA_sigmoid;0,0737;0,2463;0,0275;0,1064
4;KPCA_rbf;0,0724;0,2413;0,0268;0,1037
8;AUTOE;0,0723;0,2507;0,0267;0,1038
4;AUTOE;0,0628;0,2181;0,0233;0,0899
2;KPCA_poly;0,0596;0,2094;0,0224;0,0852
2;KPCA_linear;0,0593;0,2086;0,0224;0,0851
2;KPCA_sigmoid;0,0592;0,2086;0,0224;0,0851
2;KPCA_rbf;0,0585;0,2072;0,0222;0,0843
64;AUTOE;0,0563;0,1963;0,0209;0,0819
16;KPCA_cosine;0,056;0,1992;0,0213;0,0845
16;KPCA;0,056;0,1992;0,0213;0,0845
32;KPCA_cosine;0,0555;0,1927;0,0207;0,0825
32;KPCA;0,0555;0,1927;0,0207;0,0825
128;KPCA_cosine;0,0554;0,1934;0,021;0,0835
128;KPCA;0,0554;0,1934;0,021;0,0835
64;KPCA_cosine;0,0538;0,1862;0,0204;0,0801
64;KPCA;0,0538;0,1862;0,0204;0,0801
8;KPCA_cosine;0,0527;0,1869;0,0197;0,079
8;KPCA;0,0527;0,1869;0,0197;0,079
2;AUTOE;0,0525;0,2007;0,0215;0,0817
4;KPCA_cosine;0,0497;0,1818;0,0192;0,0749
4;KPCA;0,0497;0,1818;0,0192;0,0749
2;KPCA_cosine;0,0411;0,1492;0,0158;0,0604
2;KPCA;0,0411;0,1492;0,0158;0,0604
64;UMAP;0,024;0,0971;0,0103;0,0419
32;UMAP;0,0173;0,0753;0,0079;0,0326
128;UMAP;0,0146;0,0514;0,0055;0,0221
16;UMAP;0,0102;0,0507;0,0052;0,0207
2;TSNE;0,0094;0,0318;0,0036;0,0136
4;UMAP;0,0086;0,0413;0,0042;0,0156
2;UMAP;0,0083;0,0398;0,004;0,0161
8;UMAP;0,0069;0,0376;0,0038;0,015
2;BASE;0,0038;0,0159;0,0015;0,0064
