item	entity
781	781
1799	1799
521	521
3596	3596
3682	3682
2635	2635
1590	1590
116	116
3719	3719
3811	3811
3801	3801
2173	2173
2908	2908
2816	2816
2243	2243
3553	3553
3344	3344
2095	2095
2	2
2950	2950
1705	1705
785	785
3861	3861
3942	3942
2005	2005
2636	2636
834	834
392	392
117	117
162	162
2263	2263
3802	3802
2682	2682
1727	1727
2244	2244
3218	3218
3812	3812
3943	3943
692	692
2521	2521
3548	3548
934	934
3	3
2245	2245
3094	3094
1577	1577
2174	2174
1445	1445
1707	1707
1921	1921
522	522
2000	2000
3345	3345
2134	2134
3549	3549
552	552
1728	1728
3944	3944
2951	2951
1178	1178
2763	2763
2817	2817
3813	3813
118	118
3862	3862
2522	2522
2246	2246
2683	2683
3037	3037
517	517
1483	1483
1446	1446
2520	2520
3462	3462
523	523
2247	2247
2024	2024
3683	3683
119	119
2310	2310
1729	1729
388	388
2555	2555
3424	3424
1623	1623
3945	3945
3038	3038
3219	3219
1434	1434
3555	3555
3346	3346
251	251
1876	1876
2248	2248
2779	2779
1350	1350
120	120
3166	3166
935	935
2001	2001
1046	1046
1015	1015
2818	2818
3425	3425
1484	1484
913	913
1730	1730
782	782
440	440
1447	1447
2096	2096
1217	1217
2264	2264
121	121
299	299
3556	3556
1579	1579
2953	2953
2135	2135
518	518
936	936
1731	1731
3803	3803
2437	2437
2392	2392
2819	2819
2002	2002
3039	3039
390	390
2556	2556
1591	1591
1711	1711
3347	3347
3167	3167
914	914
1624	1624
1047	1047
519	519
3295	3295
300	300
1437	1437
3557	3557
1801	1801
2097	2097
524	524
441	441
391	391
3426	3426
554	554
1732	1732
3804	3804
2438	2438
3168	3168
1713	1713
3348	3348
1449	1449
2764	2764
3597	3597
4	4
520	520
301	301
1049	1049
1438	1438
28	28
1179	1179
252	252
3221	3221
2523	2523
2765	2765
1804	1804
3427	3427
3805	3805
442	442
2006	2006
1293	1293
2439	2439
525	525
253	253
555	555
1733	1733
2249	2249
835	835
3169	3169
1715	1715
3720	3720
2393	2393
1016	1016
29	29
5	5
3806	3806
3463	3463
2524	2524
254	254
443	443
786	786
2250	2250
556	556
3684	3684
2638	2638
937	937
393	393
2098	2098
2007	2007
30	30
3946	3946
1050	1050
3464	3464
1439	1439
1734	1734
444	444
3807	3807
3296	3296
163	163
255	255
2394	2394
938	938
2639	2639
3685	3685
1485	1485
2099	2099
1922	1922
1453	1453
2003	2003
1093	1093
132	132
1717	1717
31	31
2265	2265
2766	2766
3863	3863
1051	1051
3808	3808
2440	2440
3171	3171
1294	1294
445	445
1311	1311
3550	3550
557	557
3297	3297
2004	2004
3465	3465
2395	2395
1580	1580
164	164
2650	2650
2767	2767
939	939
1052	1052
122	122
1923	1923
394	394
3809	3809
3298	3298
836	836
783	783
2558	2558
527	527
3551	3551
1094	1094
2266	2266
1581	1581
3097	3097
787	787
2768	2768
2176	2176
2009	2009
915	915
32	32
2396	2396
1017	1017
2136	2136
2954	2954
3810	3810
1351	1351
2651	2651
1582	1582
1053	1053
2441	2441
1718	1718
3299	3299
165	165
3947	3947
2267	2267
3466	3466
1295	1295
3686	3686
446	446
1583	1583
3559	3559
1486	1486
2100	2100
1313	1313
2025	2025
125	125
2780	2780
3721	3721
1719	1719
3814	3814
1095	1095
1296	1296
2652	2652
784	784
33	33
916	916
3552	3552
1219	1219
1054	1054
256	256
2311	2311
2268	2268
558	558
1440	1440
653	653
303	303
2252	2252
3300	3300
2101	2101
2442	2442
396	396
1297	1297
166	166
2912	2912
126	126
3865	3865
2397	2397
257	257
2177	2177
1314	1314
1298	1298
2955	2955
2781	2781
1018	1018
1352	1352
1055	1055
2026	2026
2269	2269
2640	2640
1625	1625
263	263
258	258
1096	1096
3173	3173
2103	2103
2820	2820
1592	1592
2769	2769
167	167
3428	3428
2770	2770
3598	3598
2913	2913
129	129
2956	2956
3561	3561
2771	2771
1353	1353
3301	3301
2641	2641
2312	2312
135	135
1299	1299
304	304
2270	2270
2642	2642
940	940
1878	1878
2104	2104
1805	1805
2525	2525
1300	1300
1097	1097
265	265
1584	1584
694	694
2653	2653
1441	1441
559	559
2137	2137
2643	2643
2687	2687
2271	2271
2253	2253
2443	2443
3687	3687
3948	3948
3222	3222
3040	3040
1585	1585
3467	3467
1056	1056
2772	2772
168	168
266	266
1301	1301
3599	3599
2138	2138
1721	1721
1354	1354
2272	2272
1442	1442
2444	2444
1181	1181
1020	1020
3600	3600
1302	1302
1735	1735
169	169
259	259
2782	2782
1626	1626
2773	2773
1057	1057
2821	2821
3949	3949
1059	1059
3223	3223
1586	1586
2010	2010
2688	2688
2105	2105
1183	1183
1487	1487
1722	1722
3041	3041
1220	1220
2774	2774
788	788
2559	2559
1303	1303
528	528
837	837
3950	3950
3042	3042
3601	3601
2106	2106
3302	3302
2178	2178
260	260
1593	1593
3866	3866
1304	1304
2273	2273
2313	2313
2011	2011
3951	3951
3224	3224
1317	1317
130	130
2689	2689
1184	1184
2107	2107
695	695
1739	1739
1021	1021
2560	2560
1305	1305
2398	2398
447	447
2108	2108
2012	2012
1306	1306
529	529
3350	3350
2254	2254
1318	1318
696	696
2109	2109
2783	2783
3225	3225
1185	1185
131	131
3602	3602
2275	2275
1307	1307
1627	1627
790	790
2255	2255
3868	3868
3174	3174
2110	2110
3723	3723
530	530
697	697
2784	2784
2644	2644
3603	3603
267	267
1587	1587
34	34
3175	3175
261	261
2445	2445
2276	2276
1723	1723
3468	3468
1186	1186
1309	1309
1628	1628
1454	1454
2775	2775
2179	2179
1879	1879
1724	1724
2957	2957
2785	2785
1355	1355
2111	2111
3303	3303
1221	1221
1022	1022
2914	2914
1806	1806
2256	2256
268	268
698	698
1588	1588
1742	1742
3098	3098
1023	1023
792	792
2257	2257
137	137
1925	1925
1310	1310
3176	3176
562	562
1024	1024
3819	3819
2259	2259
2561	2561
1594	1594
1589	1589
1356	1356
1187	1187
2112	2112
1099	1099
2399	2399
2645	2645
2690	2690
1880	1880
2646	2646
306	306
1455	1455
2647	2647
3352	3352
2915	2915
2777	2777
2027	2027
138	138
3229	3229
1025	1025
1321	1321
2113	2113
35	35
2786	2786
2778	2778
307	307
3562	3562
1026	1026
1807	1807
3820	3820
2260	2260
2028	2028
3043	3043
1027	1027
1222	1222
1881	1881
2261	2261
563	563
1595	1595
2262	2262
2314	2314
1726	1726
3099	3099
1744	1744
2648	2648
1488	1488
2139	2139
2649	2649
308	308
1060	1060
2114	2114
1809	1809
1322	1322
2115	2115
1100	1100
3430	3430
2116	2116
2029	2029
6	6
2117	2117
1223	1223
3044	3044
2118	2118
3354	3354
1188	1188
2119	2119
3100	3100
1596	1596
309	309
2120	2120
2140	2140
1489	1489
2121	2121
3431	3431
1810	1810
2122	2122
1323	1323
2123	2123
2691	2691
2013	2013
2124	2124
3230	3230
3045	3045
2125	2125
3355	3355
1746	1746
2126	2126
170	170
3688	3688
2128	2128
3604	3604
1324	1324
2129	2129
310	310
3432	3432
2130	2130
1490	1490
3821	3821
2132	2132
2180	2180
3046	3046
2133	2133
2315	2315
918	918
1811	1811
1028	1028
1189	1189
3101	3101
1029	1029
3689	3689
448	448
1030	1030
2526	2526
3231	3231
1031	1031
3433	3433
311	311
1032	1032
1325	1325
838	838
1033	1033
1061	1061
2692	2692
1034	1034
2787	2787
2316	2316
1035	1035
2400	2400
3605	3605
1036	1036
2916	2916
2181	2181
1037	1037
1190	1190
1101	1101
1038	1038
3690	3690
1040	1040
3724	3724
2527	2527
1224	1224
1041	1041
3304	3304
2031	2031
1042	1042
1597	1597
2959	2959
1043	1043
1326	1326
449	449
1044	1044
1747	1747
1926	1926
1045	1045
3048	3048
2562	2562
1062	1062
3232	3232
2788	2788
1493	1493
2401	2401
839	839
1191	1191
312	312
2528	2528
1812	1812
398	398
3469	3469
3049	3049
2317	2317
796	796
1629	1629
1192	1192
3102	3102
3691	3691
450	450
2654	2654
2032	2032
2014	2014
1102	1102
1598	1598
36	36
2917	2917
3725	3725
3563	3563
1225	1225
139	139
3357	3357
3050	3050
1494	1494
399	399
1357	1357
2402	2402
1814	1814
2015	2015
840	840
3051	3051
2960	2960
400	400
3233	3233
3564	3564
2824	2824
1327	1327
451	451
2033	2033
1456	1456
270	270
1103	1103
2918	2918
3358	3358
2789	2789
1358	1358
2278	2278
1495	1495
1328	1328
841	841
2693	2693
3177	3177
3871	3871
271	271
2141	2141
452	452
942	942
1193	1193
3359	3359
2919	2919
1927	1927
2016	2016
2279	2279
1359	1359
1329	1329
842	842
272	272
3470	3470
2142	2142
564	564
2920	2920
2446	2446
2280	2280
3360	3360
1882	1882
3726	3726
1457	1457
2961	2961
3471	3471
1748	1748
313	313
656	656
2447	2447
2921	2921
141	141
1226	1226
565	565
2281	2281
3361	3361
7	7
2182	2182
919	919
314	314
3052	3052
1360	1360
1883	1883
566	566
3823	3823
943	943
657	657
3606	3606
273	273
3362	3362
2922	2922
3473	3473
2282	2282
1104	1104
8	8
3236	3236
1884	1884
1227	1227
1749	1749
1361	1361
1330	1330
567	567
3692	3692
171	171
143	143
1815	1815
3824	3824
1228	1228
9	9
3727	3727
2283	2283
1631	1631
1885	1885
2564	2564
1750	1750
700	700
3053	3053
2034	2034
2403	2403
3475	3475
659	659
1496	1496
144	144
1816	1816
531	531
1230	1230
10	10
1632	1632
798	798
3728	3728
1194	1194
3238	3238
3434	3434
2183	2183
1886	1886
944	944
3565	3565
2694	2694
2404	2404
3363	3363
2791	2791
701	701
2656	2656
3476	3476
799	799
1817	1817
3825	3825
1231	1231
3435	3435
1633	1633
2925	2925
38	38
3055	3055
2035	2035
401	401
3239	3239
2405	2405
3872	3872
2017	2017
1497	1497
11	11
2184	2184
3436	3436
3056	3056
2825	2825
3178	3178
172	172
2406	2406
568	568
532	532
3103	3103
2529	2529
1363	1363
3437	3437
3477	3477
1635	1635
3306	3306
1498	1498
3057	3057
945	945
1752	1752
2962	2962
3179	3179
1105	1105
274	274
2036	2036
3826	3826
3307	3307
3364	3364
1196	1196
3873	3873
2792	2792
2185	2185
2926	2926
1928	1928
3180	3180
2318	2318
3827	3827
3478	3478
2530	2530
569	569
1063	1063
453	453
1753	1753
2963	2963
3308	3308
2037	2037
2793	2793
3874	3874
12	12
315	315
2794	2794
2964	2964
1064	1064
3479	3479
1331	1331
2319	2319
1887	1887
1365	1365
800	800
2038	2038
2284	2284
3875	3875
1065	1065
3104	3104
3309	3309
39	39
2320	2320
1332	1332
1636	1636
1066	1066
3828	3828
2565	2565
3693	3693
3365	3365
1888	1888
1366	1366
3105	3105
1067	1067
702	702
3566	3566
2321	2321
2531	2531
2448	2448
2186	2186
2143	2143
316	316
2407	2407
3694	3694
1499	1499
3181	3181
3106	3106
2144	2144
2449	2449
3829	3829
1500	1500
2532	2532
2450	2450
2408	2408
1639	1639
2927	2927
3729	3729
3058	3058
2566	2566
3695	3695
