item	entity
1800096627	1800096627
1800080499	1800080499
1800136520	1800136520
1802816711	1802816711
1800101011	1800101011
1800090463	1800090463
1800085556	1800085556
1800291441	1800291441
1800260232	1800260232
1808413764	1808413764
1800087601	1800087601
1800019123	1800019123
1800364936	1800364936
1800094826	1800094826
1800090026	1800090026
1800090121	1800090121
1804104841	1804104841
1800092995	1800092995
1802837661	1802837661
1800181342	1800181342
1800222754	1800222754
1800105905	1800105905
1800064059	1800064059
1800098259	1800098259
1800020037	1800020037
1800024450	1800024450
1800178989	1800178989
1800182364	1800182364
1800175507	1800175507
1800028293	1800028293
1800092955	1800092955
1800051573	1800051573
1800363182	1800363182
1800372793	1800372793
1800280762	1800280762
1800176214	1800176214
1800018889	1800018889
1800019616	1800019616
1800023269	1800023269
1800056839	1800056839
1800057050	1800057050
1800018810	1800018810
1800072233	1800072233
1802817216	1802817216
1800107735	1800107735
1800024880	1800024880
1800103660	1800103660
1800109653	1800109653
1800109819	1800109819
1800256947	1800256947
1800053533	1800053533
1800248965	1800248965
1800108719	1800108719
1802814835	1802814835
1800110969	1800110969
1800171299	1800171299
1800102321	1800102321
1803242673	1803242673
1800018991	1800018991
1800108407	1800108407
1800109559	1800109559
1800108162	1800108162
1800109761	1800109761
1800115289	1800115289
1800170513	1800170513
1800171984	1800171984
1800018862	1800018862
1800019297	1800019297
1800067012	1800067012
1800019162	1800019162
1800022305	1800022305
1800025632	1800025632
1800025320	1800025320
1800121702	1800121702
1800128062	1800128062
1800119326	1800119326
1800024967	1800024967
1800072595	1800072595
1800072327	1800072327
1800116994	1800116994
1800076849	1800076849
1800125056	1800125056
1800255221	1800255221
1800192002	1800192002
1800063081	1800063081
1800025129	1800025129
1800267607	1800267607
1800269631	1800269631
1800019154	1800019154
1800020112	1800020112
1800130967	1800130967
1800263787	1800263787
1800019739	1800019739
1800127733	1800127733
1800134720	1800134720
1800022899	1800022899
1800317291	1800317291
1808428949	1808428949
1800066447	1800066447
1800064675	1800064675
1800065474	1800065474
1800066240	1800066240
1803242041	1803242041
1800100883	1800100883
1800135909	1800135909
1800020207	1800020207
1800020187	1800020187
1800340653	1800340653
1800364438	1800364438
1800073733	1800073733
1800071425	1800071425
1808689430	1808689430
1800134984	1800134984
1802830008	1802830008
1800406533	1800406533
1800342734	1800342734
1800354108	1800354108
1800171742	1800171742
1802823058	1802823058
1800029300	1800029300
1800103906	1800103906
1800075296	1800075296
1800075305	1800075305
1800552740	1800552740
1800074900	1800074900
1800354528	1800354528
1803468981	1803468981
1800078393	1800078393
1800078873	1800078873
1800256750	1800256750
1800020493	1800020493
1800267669	1800267669
1800077850	1800077850
1800254890	1800254890
1800251524	1800251524
1800020522	1800020522
1800020517	1800020517
1800076684	1800076684
1800092631	1800092631
1800025677	1800025677
1800024633	1800024633
1800081672	1800081672
1800266439	1800266439
1800255867	1800255867
1802837645	1802837645
1800025230	1800025230
1800105199	1800105199
1800019822	1800019822
1800038275	1800038275
1800020619	1800020619
1800254720	1800254720
1800255845	1800255845
1800250001	1800250001
1800040252	1800040252
1800324868	1800324868
1800253724	1800253724
1800018722	1800018722
1800046032	1800046032
1800110398	1800110398
1800172185	1800172185
1800321935	1800321935
1800106078	1800106078
1800085550	1800085550
1800253043	1800253043
1800268471	1800268471
1804851301	1804851301
1800292682	1800292682
1800084714	1800084714
1800119276	1800119276
1807858516	1807858516
1800263884	1800263884
1800086234	1800086234
1800020734	1800020734
1800257799	1800257799
1807428639	1807428639
1800342475	1800342475
1802957224	1802957224
1800334510	1800334510
1800417964	1800417964
1800084394	1800084394
1800056645	1800056645
1800119406	1800119406
1800350459	1800350459
1800019143	1800019143
1800276908	1800276908
1800267649	1800267649
1800254546	1800254546
1800120005	1800120005
1800130285	1800130285
1800256738	1800256738
1800287461	1800287461
1800091246	1800091246
1800022515	1800022515
1800019679	1800019679
1800261950	1800261950
1800256364	1800256364
1800286683	1800286683
1800020886	1800020886
1804383552	1804383552
1800262174	1800262174
1800256744	1800256744
1800094409	1800094409
1800265342	1800265342
1800064356	1800064356
