model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.35499035326428935	0.9130434782608695	0.3079710144927536	0.3079710144927536
AUTOE@16	0.3611160798549587	0.8681159420289855	0.323768115942029	0.323768115942029
AUTOE@2	0.13363600774812667	0.6369565217391304	0.10644927536231882	0.10644927536231882
AUTOE@32	0.4265716133442838	0.95	0.36760869565217386	0.36760869565217386
AUTOE@4	0.30443364502276066	0.513768115942029	0.27688405797101445	0.27688405797101445
AUTOE@64	0.2670166246266381	0.808695652173913	0.2343478260869565	0.2343478260869565
AUTOE@8	0.5507148329270779	0.9427536231884058	0.49768115942028984	0.49768115942028984
BASE@128	0.6249919795541974	0.9971014492753624	0.5589855072463767	0.5589855072463767
BASE@16	0.5654443135964567	0.9775362318840579	0.5105797101449274	0.5105797101449274
BASE@2	0.43252060939363035	0.8927536231884058	0.37449275362318835	0.37449275362318835
BASE@256	1.0	1.0	1.0	1.0
BASE@32	0.4682828406091851	0.9550724637681159	0.4116666666666667	0.4116666666666667
BASE@4	0.46589623620380954	0.9028985507246376	0.41231884057971013	0.41231884057971013
BASE@512	0.6799300221745153	0.9992753623188406	0.6121014492753624	0.6121014492753624
BASE@64	0.634956727950669	0.9942028985507246	0.5718840579710145	0.5718840579710145
BASE@8	0.42553626677378315	0.9	0.37362318840579706	0.37362318840579706
KPCA_cosine@128	0.65820490479735	0.9963768115942029	0.5963768115942029	0.5963768115942029
KPCA_cosine@16	0.6406136732926316	0.9847826086956522	0.5770289855072464	0.5770289855072464
KPCA_cosine@2	0.5870591223221033	0.8884057971014493	0.5254347826086957	0.5254347826086957
KPCA_cosine@32	0.6546848631348557	0.9971014492753624	0.5886231884057971	0.5886231884057971
KPCA_cosine@4	0.6109143497566586	0.9376811594202898	0.5518115942028986	0.5518115942028986
KPCA_cosine@64	0.6579204021663941	0.9978260869565218	0.5933333333333333	0.5933333333333333
KPCA_cosine@8	0.6287970054835506	0.9579710144927536	0.5688405797101449	0.5688405797101449
KPCA_linear@128	0.7386262720394755	0.9985507246376811	0.6790579710144927	0.6790579710144927
KPCA_linear@16	0.6943670541491896	0.9891304347826086	0.6329710144927536	0.6329710144927536
KPCA_linear@2	0.6046475087352153	0.8992753623188405	0.547608695652174	0.547608695652174
KPCA_linear@32	0.7195641675292664	0.9971014492753624	0.656304347826087	0.656304347826087
KPCA_linear@4	0.6452195984737454	0.9384057971014492	0.5881884057971015	0.5881884057971015
KPCA_linear@64	0.7345312367668749	0.9978260869565218	0.6728985507246377	0.6728985507246377
KPCA_linear@8	0.6702503122394327	0.9572463768115942	0.6121739130434782	0.6121739130434782
KPCA_poly@128	0.7384689899759052	0.9985507246376811	0.678913043478261	0.678913043478261
KPCA_poly@16	0.6944868764097469	0.9891304347826086	0.6331159420289856	0.6331159420289856
KPCA_poly@2	0.6048874303732814	0.8992753623188405	0.5479710144927536	0.5479710144927536
KPCA_poly@32	0.7196116024186804	0.9971014492753624	0.6561594202898551	0.6561594202898551
KPCA_poly@4	0.6451179799042192	0.9384057971014492	0.5878985507246377	0.5878985507246377
KPCA_poly@64	0.7342659494597501	0.9978260869565218	0.6723913043478261	0.6723913043478261
KPCA_poly@8	0.6704786130041611	0.9572463768115942	0.6123188405797102	0.6123188405797102
KPCA_rbf@128	0.7385281441753017	0.9985507246376811	0.6789855072463769	0.6789855072463769
KPCA_rbf@16	0.6944581663791063	0.9891304347826086	0.6328985507246376	0.6328985507246376
KPCA_rbf@2	0.6049840770872255	0.8992753623188405	0.5478985507246377	0.5478985507246377
KPCA_rbf@32	0.7197347713838682	0.9971014492753624	0.6562318840579711	0.6562318840579711
KPCA_rbf@4	0.6455191033230774	0.9376811594202898	0.5881159420289856	0.5881159420289856
KPCA_rbf@64	0.7343512327548982	0.9978260869565218	0.6723913043478261	0.6723913043478261
KPCA_rbf@8	0.6705489489433245	0.9572463768115942	0.6123913043478261	0.6123913043478261
KPCA_sigmoid@128	0.7386434997502672	0.9985507246376811	0.6792753623188407	0.6792753623188407
KPCA_sigmoid@16	0.69433519025975	0.9891304347826086	0.6331159420289856	0.6331159420289856
KPCA_sigmoid@2	0.6047364962979106	0.8992753623188405	0.5476811594202898	0.5476811594202898
KPCA_sigmoid@32	0.7193076476191343	0.9971014492753624	0.6559420289855072	0.6559420289855072
KPCA_sigmoid@4	0.6453688234176301	0.9384057971014492	0.5885507246376812	0.5885507246376812
KPCA_sigmoid@64	0.7345178682599529	0.9978260869565218	0.6729710144927536	0.6729710144927536
