model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.4328566910968488	0.9754885723749586	0.3806724080821464	0.3806724080821464
AUTOE@16	0.4319087645052896	0.9739980125869493	0.3740476979132163	0.3740476979132163
AUTOE@2	0.015894059421668286	0.11030142431268632	0.015551507121563432	0.015551507121563432
AUTOE@256	0.4993135467602031	0.988241139450149	0.4334713481285194	0.4334713481285194
AUTOE@32	0.3647618852192564	0.9385558131831733	0.3184498178204704	0.3184498178204704
AUTOE@4	0.1813108477612458	0.7047035442199404	0.15942365021530308	0.15942365021530308
AUTOE@64	0.41930087610390515	0.9774759854256376	0.36619741636303416	0.36619741636303416
AUTOE@8	0.21963646734018483	0.7805564756541902	0.19296124544551174	0.19296124544551174
BASE@128	0.759625603476254	1.0	0.6932759191785359	0.6932759191785359
BASE@16	0.7123770742632461	0.9981782047035442	0.6484266313348791	0.6484266313348791
BASE@2	0.28313177083791613	0.8318979794633985	0.25745279894004636	0.25745279894004636
BASE@256	0.8193512621396245	1.0	0.7581318317323618	0.7581318317323618
BASE@32	0.7634351638648839	0.9995031467373302	0.6990062934746606	0.6990062934746606
BASE@4	0.4491720533008924	0.9470023186485591	0.395313017555482	0.395313017555482
BASE@512	1.0	1.0	1.0	1.0
BASE@64	0.7991661733647344	1.0	0.7378602186154355	0.7378602186154355
BASE@8	0.597405834035328	0.9903941702550514	0.5356740642596887	0.5356740642596887
KPCA_cosine@128	0.1652962472351343	0.7315336204041073	0.14894004637297117	0.14894004637297117
KPCA_cosine@16	0.15713795469890315	0.6997350115932428	0.14203378602186156	0.14203378602186156
KPCA_cosine@2	0.08984231472344287	0.303411725736999	0.0820470354421994	0.0820470354421994
KPCA_cosine@256	0.16314900847035743	0.7255713812520702	0.14721762172904937	0.14721762172904937
KPCA_cosine@32	0.16607280142415048	0.7265650877774097	0.14991719112288837	0.14991719112288837
KPCA_cosine@4	0.07745276186189433	0.35674064259688637	0.07184498178204704	0.07184498178204704
KPCA_cosine@64	0.16668510871976705	0.7321960914210003	0.15006624710168934	0.15006624710168934
KPCA_cosine@8	0.11395383225694339	0.5511758860549851	0.10503477972838689	0.10503477972838689
KPCA_linear@128	0.41064955221522786	0.9590924147068566	0.3528320635972176	0.3528320635972176
KPCA_linear@16	0.40582496834727416	0.95213646902948	0.3488572374958595	0.3488572374958595
KPCA_linear@2	0.15763707267235047	0.5074527989400464	0.14138787678039086	0.14138787678039086
KPCA_linear@256	0.40798867174461045	0.9579330904272938	0.3516396157668102	0.3516396157668102
KPCA_linear@32	0.41505643555349686	0.9580987081815171	0.3557634978469692	0.3557634978469692
KPCA_linear@4	0.21141062277414066	0.6737330241801921	0.1840178867174561	0.1840178867174561
KPCA_linear@64	0.41499555799785887	0.9595892679695264	0.35604504802914877	0.35604504802914877
KPCA_linear@8	0.32749693212581654	0.8815833057303742	0.2842000662471017	0.2842000662471017
KPCA_poly@128	0.4180286204810854	0.9615766810202053	0.3590261676051673	0.3590261676051673
KPCA_poly@16	0.4132748889887666	0.956111295130838	0.3548194766478966	0.3548194766478966
KPCA_poly@2	0.1587381273370769	0.5114276250414045	0.14244783040741968	0.14244783040741968
KPCA_poly@256	0.4142552853417243	0.960086121232196	0.3565087777409739	0.3565087777409739
