model	nDCGRendle2020	HR	Precision	Recall
AUTOE@128	0.44634829724161085	0.9655056932350972	0.3895177494976557	0.3895177494976557
AUTOE@16	0.4762293544307486	0.9554588077695915	0.42133288680509046	0.42133288680509046
AUTOE@2	0.23755473727423954	0.6272605492297387	0.2134293369055593	0.2134293369055593
AUTOE@256	0.5883980003002962	0.9963161419959813	0.5249832551908908	0.5249832551908908
AUTOE@32	0.5046690863328888	0.9725385130609511	0.4450770261219022	0.4450770261219022
AUTOE@4	0.32473934288682105	0.8198258539852645	0.29115874079035503	0.29115874079035503
AUTOE@64	0.544717832801196	0.9872739450770261	0.4821835231078366	0.4821835231078366
AUTOE@8	0.4108325616960328	0.9152712659075687	0.37052913596785	0.37052913596785
BASE@128	0.60991440653389	0.9963161419959813	0.5461821835231079	0.5461821835231079
BASE@16	0.4163628173482489	0.9313462826523777	0.37139986604152714	0.37139986604152714
BASE@2	0.2839583683377235	0.6718017414601474	0.2545880776959143	0.2545880776959143
BASE@256	1.0	1.0	1.0	1.0
BASE@32	0.5055029335399509	0.9715338245144005	0.45070328198258536	0.45070328198258536
BASE@4	0.2842230434139718	0.7374413931681179	0.2555592766242465	0.2555592766242465
BASE@512	0.6753831969775438	0.9989953114534494	0.6053583389149363	0.6053583389149363
BASE@64	0.557695402381948	0.9922973878097789	0.49943067649028805	0.49943067649028805
BASE@8	0.3591485821873815	0.8784326858673811	0.3262558606831882	0.3262558606831882
KPCA_cosine@128	0.622731239142014	0.992967180174146	0.55589417280643	0.55589417280643
KPCA_cosine@16	0.5305603769378515	0.9457468184862693	0.4741125251172137	0.4741125251172137
KPCA_cosine@2	0.3172652773079596	0.7170127260549229	0.2910582719357	0.2910582719357
KPCA_cosine@256	0.6227329030096233	0.9939718687206965	0.5574681848626926	0.5574681848626926
KPCA_cosine@32	0.5850299372997942	0.9755525787006029	0.521969189551239	0.521969189551239
KPCA_cosine@4	0.4037856497053102	0.8231748158070998	0.3640321500334896	0.3640321500334896
KPCA_cosine@64	0.6143613920390689	0.992967180174146	0.546383121232418	0.546383121232418
KPCA_cosine@8	0.4717377719803499	0.8941728064300067	0.42283991962491624	0.42283991962491624
KPCA_linear@128	0.6271743541489053	0.9969859343603483	0.5582049564634963	0.5582049564634963
KPCA_linear@16	0.5290290610604381	0.9618218352310783	0.4712993971868721	0.4712993971868721
KPCA_linear@2	0.30173892888256454	0.7069658405894172	0.27491627595445417	0.27491627595445417
KPCA_linear@256	0.6307479268781282	0.9969859343603483	0.5611185532484929	0.5611185532484929
KPCA_linear@32	0.5833158932781098	0.985264567983925	0.5194574681848627	0.5194574681848627
KPCA_linear@4	0.3991144510174058	0.8446081714668453	0.35897521768251844	0.35897521768251844
KPCA_linear@64	0.6140212052161196	0.9946416610850636	0.5463161419959812	0.5463161419959812
KPCA_linear@8	0.4676470724679035	0.9182853315472204	0.4184527796383121	0.4184527796383121
KPCA_poly@128	0.6273447374391545	0.9969859343603483	0.558271935699933	0.558271935699933
KPCA_poly@16	0.5291377497327319	0.9614869390488948	0.4714333556597454	0.4714333556597454
KPCA_poly@2	0.30160710751379805	0.7052913596784997	0.2747823174815807	0.2747823174815807
KPCA_poly@256	0.6309492222632055	0.9969859343603483	0.5613529805760213	0.5613529805760213
KPCA_poly@32	0.5833976399926727	0.9855994641661086	0.519591426657736	0.519591426657736
KPCA_poly@4	0.399167285864157	0.8442732752846618	0.3591761553918285	0.3591761553918285
KPCA_poly@64	0.6140860402638543	0.9946416610850636	0.5461152042866712	0.5461152042866712
KPCA_poly@8	0.467487112043481	0.9172806430006698	0.41821835231078364	0.41821835231078364
KPCA_rbf@128	0.6281623775883881	0.9969859343603483	0.5590087073007368	0.5590087073007368
KPCA_rbf@16	0.5298468056967491	0.9621567314132619	0.47217012726054924	0.47217012726054924
KPCA_rbf@2	0.302250429455891	0.7079705291359678	0.2755525787006028	0.2755525787006028
KPCA_rbf@256	0.6311537262637832	0.9969859343603483	0.5615874079035499	0.5615874079035499
KPCA_rbf@32	0.5838742709901923	0.9855994641661086	0.5198928332217013	0.5198928332217013
KPCA_rbf@4	0.3991415920539033	0.8429336905559277	0.35900870730073675	0.35900870730073675
KPCA_rbf@64	0.6143625117644524	0.9949765572672472	0.546483590087073	0.546483590087073
KPCA_rbf@8	0.46822487325287876	0.9182853315472204	0.4189216342933691	0.4189216342933691
KPCA_sigmoid@128	0.6269182412688653	0.9969859343603483	0.5581044876088412	0.5581044876088412
KPCA_sigmoid@16	0.5288601518943475	0.9614869390488948	0.47109845947756196	0.47109845947756196
KPCA_sigmoid@2	0.3014140207074382	0.7066309444072337	0.2745813797722706	0.2745813797722706
KPCA_sigmoid@256	0.6304681721483685	0.9969859343603483	0.5608171466845278	0.5608171466845278
