|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
256;BASE;0,2431;0,5555;0,1017;0,2941
128;UMAP;0,0102;0,0324;0,0060;0,0140
128;NN;0,2424;0,5525;0,1012;0,2928
128;KPCA_sigmoid;0,2224;0,5150;0,0923;0,2642
128;KPCA_rbf;0,2162;0,5023;0,0901;0,2551
128;KPCA_poly;0,2250;0,5187;0,0935;0,2671
128;KPCA_linear;0,2236;0,5167;0,0930;0,2661
128;KPCA_cosine;0,1623;0,4115;0,0676;0,1972
128;BASE;0,2360;0,5425;0,0991;0,2860
128;AUTOE;0,1978;0,4685;0,0817;0,2352
64;UMAP;0,0094;0,0281;0,0040;0,0112
64;NN;0,2363;0,5368;0,0978;0,2823
64;KPCA_sigmoid;0,2215;0,5103;0,0917;0,2631
64;KPCA_rbf;0,2158;0,5013;0,0898;0,2545
64;KPCA_poly;0,2239;0,5127;0,0927;0,2648
64;KPCA_linear;0,2225;0,5123;0,0922;0,2640
64;KPCA_cosine;0,1640;0,4152;0,0677;0,1989
64;BASE;0,2239;0,5274;0,0945;0,2744
64;AUTOE;0,1767;0,4356;0,0709;0,2110
32;UMAP;0,0335;0,1419;0,0237;0,0429
32;NN;0,2271;0,5244;0,0960;0,2743
32;KPCA_sigmoid;0,2132;0,4949;0,0897;0,2522
32;KPCA_rbf;0,2105;0,4896;0,0886;0,2477
32;KPCA_poly;0,2160;0,4973;0,0904;0,2545
32;KPCA_linear;0,2143;0,4953;0,0899;0,2530
32;KPCA_cosine;0,1583;0,4085;0,0665;0,1949
32;BASE;0,2004;0,4839;0,0866;0,2471
32;AUTOE;0,1927;0,4564;0,0802;0,2307
16;UMAP;0,0079;0,0227;0,0041;0,0092
16;NN;0,2092;0,5077;0,0923;0,2580
16;KPCA_sigmoid;0,1943;0,4655;0,0854;0,2324
16;KPCA_rbf;0,1909;0,4598;0,0845;0,2265
16;KPCA_poly;0,1963;0,4698;0,0866;0,2346
16;KPCA_linear;0,1951;0,4668;0,0860;0,2330
16;KPCA_cosine;0,1407;0,3841;0,0631;0,1779
16;BASE;0,1856;0,4584;0,0816;0,2308
16;AUTOE;0,1776;0,4420;0,0759;0,2115
8;UMAP;0,0099;0,0244;0,0047;0,0102
8;NN;0,1807;0,4524;0,0823;0,2240
8;KPCA_sigmoid;0,1620;0,4192;0,0757;0,1994
8;KPCA_rbf;0,1584;0,4142;0,0747;0,1953
8;KPCA_poly;0,1638;0,4223;0,0761;0,2012
8;KPCA_linear;0,1624;0,4209;0,0760;0,2002
8;KPCA_cosine;0,1103;0,3225;0,0544;0,1434
8;BASE;0,1530;0,4122;0,0714;0,1980
8;AUTOE;0,1457;0,3861;0,0649;0,1818
4;UMAP;0,0053;0,0147;0,0022;0,0054
4;NN;0,1515;0,3968;0,0723;0,1855
4;KPCA_sigmoid;0,1325;0,3630;0,0662;0,1630
4;KPCA_rbf;0,1290;0,3600;0,0655;0,1597
4;KPCA_poly;0,1349;0,3670;0,0673;0,1663
4;KPCA_linear;0,1336;0,3650;0,0668;0,1647
4;KPCA_cosine;0,0870;0,2679;0,0478;0,1117
4;BASE;0,1307;0,3760;0,0632;0,1750
4;AUTOE;0,1256;0,3456;0,0566;0,1572
2;UMAP;0,0296;0,1135;0,0204;0,0326
2;TSNE;0,0175;0,0616;0,0085;0,0237
2;NN;0,1138;0,3429;0,0601;0,1513
2;KPCA_sigmoid;0,0996;0,3057;0,0553;0,1319
2;KPCA_rbf;0,0979;0,2960;0,0542;0,1272
2;KPCA_poly;0,1013;0,3091;0,0557;0,1334
2;KPCA_linear;0,1001;0,3077;0,0553;0,1330
2;KPCA_cosine;0,0793;0,2247;0,0439;0,0974
2;BASE;0,1169;0,3422;0,0555;0,1508
2;AUTOE;0,1073;0,2913;0,0548;0,1334
