|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
64;base;0.0968;0.3170;0.0355;0.1434
32;umap;0.0712;0.2205;0.0236;0.0950
32;tsne;0.0163;0.0613;0.0066;0.0276
32;base;0.0911;0.2958;0.0328;0.1340
32;PCA;0.0787;0.2542;0.0288;0.1163
32;KPCA_sigmoid;0.0779;0.2512;0.0285;0.1151
32;KPCA_rbf;0.0744;0.2417;0.0272;0.1098
32;KPCA_poly;0.0793;0.2549;0.0289;0.1165
32;KPCA_linear;0.0784;0.2527;0.0287;0.1158
32;KPCA_cosine;0.0396;0.1380;0.0151;0.0603
16;umap;0.0697;0.2191;0.0236;0.0962
16;tsne;0.0168;0.0679;0.0072;0.0293
16;base;0.0848;0.2768;0.0301;0.1243
16;PCA;0.0783;0.2600;0.0289;0.1170
16;KPCA_sigmoid;0.0767;0.2512;0.0280;0.1129
16;KPCA_rbf;0.0740;0.2417;0.0269;0.1088
16;KPCA_poly;0.0785;0.2571;0.0287;0.1160
16;KPCA_linear;0.0781;0.2578;0.0287;0.1157
16;KPCA_cosine;0.0412;0.1460;0.0158;0.0632
8;umap;0.0394;0.1709;0.0180;0.0718
8;tsne;0.0190;0.0745;0.0080;0.0326
8;base;0.0914;0.2987;0.0330;0.1366
8;PCA;0.0773;0.2432;0.0277;0.1119
8;KPCA_sigmoid;0.0773;0.2432;0.0278;0.1125
8;KPCA_rbf;0.0740;0.2381;0.0268;0.1079
8;KPCA_poly;0.0777;0.2447;0.0280;0.1130
8;KPCA_linear;0.0773;0.2425;0.0277;0.1121
8;KPCA_cosine;0.0385;0.1424;0.0154;0.0611
4;umap;0.0736;0.2293;0.0246;0.0988
4;tsne;0.0233;0.0913;0.0097;0.0405
4;base;0.0812;0.2658;0.0288;0.1182
4;PCA;0.0747;0.2461;0.0273;0.1099
4;KPCA_sigmoid;0.0735;0.2425;0.0269;0.1083
4;KPCA_rbf;0.0716;0.2395;0.0265;0.1065
4;KPCA_poly;0.0754;0.2505;0.0277;0.1115
4;KPCA_linear;0.0747;0.2461;0.0273;0.1099
4;KPCA_cosine;0.0384;0.1439;0.0155;0.0606
2;umap;0.0663;0.2096;0.0225;0.0909
2;tsne;0.0230;0.0847;0.0092;0.0380
2;base;0.0790;0.2556;0.0276;0.1127
2;PCA;0.0635;0.2191;0.0239;0.0959
2;KPCA_sigmoid;0.0634;0.2169;0.0238;0.0954
2;KPCA_rbf;0.0613;0.2096;0.0229;0.0922
2;KPCA_poly;0.0649;0.2213;0.0241;0.0973
2;KPCA_linear;0.0635;0.2191;0.0239;0.0959
2;KPCA_cosine;0.0363;0.1344;0.0143;0.0572
