|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
64;base;0.1808;0.4475;0.0796;0.2260
32;umap;0.0738;0.2303;0.0429;0.1024
32;base;0.1587;0.4147;0.0719;0.2063
32;PCA;0.1719;0.4241;0.0750;0.2103
32;KPCA_sigmoid;0.1690;0.4175;0.0738;0.2068
32;KPCA_rbf;0.1608;0.4116;0.0722;0.2019
32;KPCA_poly;0.1723;0.4245;0.0751;0.2103
32;KPCA_linear;0.1718;0.4231;0.0748;0.2099
32;KPCA_cosine;0.1026;0.3123;0.0489;0.1386
16;umap;0.0130;0.0460;0.0061;0.0137
16;base;0.1300;0.3607;0.0602;0.1669
16;PCA;0.1652;0.4074;0.0729;0.2006
16;KPCA_sigmoid;0.1631;0.4074;0.0724;0.1998
16;KPCA_rbf;0.1535;0.3990;0.0698;0.1932
16;KPCA_poly;0.1679;0.4112;0.0739;0.2037
16;KPCA_linear;0.1655;0.4085;0.0730;0.2014
16;KPCA_cosine;0.0960;0.3035;0.0475;0.1315
8;umap;0.0658;0.1850;0.0361;0.0847
8;base;0.1147;0.3279;0.0541;0.1449
8;PCA;0.1576;0.3952;0.0708;0.1929
8;KPCA_sigmoid;0.1547;0.3903;0.0700;0.1898
8;KPCA_rbf;0.1509;0.3841;0.0686;0.1871
8;KPCA_poly;0.1599;0.3976;0.0714;0.1952
8;KPCA_linear;0.1577;0.3956;0.0708;0.1929
8;KPCA_cosine;0.0826;0.2771;0.0440;0.1165
4;umap;0.0894;0.2324;0.0457;0.1077
4;base;0.0046;0.0202;0.0020;0.0046
4;PCA;0.1428;0.3753;0.0665;0.1755
4;KPCA_sigmoid;0.1420;0.3729;0.0660;0.1732
4;KPCA_rbf;0.1351;0.3642;0.0642;0.1676
4;KPCA_poly;0.1454;0.3774;0.0669;0.1777
4;KPCA_linear;0.1428;0.3753;0.0665;0.1755
4;KPCA_cosine;0.0635;0.2293;0.0373;0.0882
2;umap;0.0147;0.0498;0.0075;0.0215
2;tsne;0.0407;0.1446;0.0246;0.0548
2;base;0.0106;0.0512;0.0054;0.0144
2;PCA;0.1187;0.3262;0.0550;0.1433
2;KPCA_sigmoid;0.1173;0.3252;0.0546;0.1423
2;KPCA_rbf;0.1117;0.3140;0.0530;0.1371
2;KPCA_poly;0.1214;0.3297;0.0560;0.1466
2;KPCA_linear;0.1187;0.3262;0.0550;0.1433
2;KPCA_cosine;0.0404;0.1714;0.0232;0.0534
