|e|;Metodo;nDCGRendle2020;HR;Precision;Recall
256;BASE;1,0;1,0;1,0;"1,0
"
128;UMAP;0,0143;0,0592;0,0141;0,0141
128;KPCA_sigmoid;0,7601;1,0;0,6828;0,6828
128;KPCA_rbf;0,7290;1,0;0,6479;0,6479
128;KPCA_poly;0,7700;1,0;0,6934;0,6934
128;KPCA_linear;0,7645;1,0;0,6875;0,6875
128;KPCA_cosine;0,4238;0,9722;0,3741;0,3741
128;BASE;0,6642;0,9989;0,5985;0,5985
128;AUTOE;0,6546;1,0;0,5777;0,5777
64;UMAP;0,0126;0,0405;0,0107;0,0107
64;KPCA_sigmoid;0,7457;1,0;0,6684;0,6684
64;KPCA_rbf;0,7185;1,0;0,6375;0,6375
64;KPCA_poly;0,7547;1,0;0,6780;0,6780
64;KPCA_linear;0,7497;1,0;0,6728;0,6728
64;KPCA_cosine;0,4311;0,9745;0,3789;0,3789
64;BASE;0,5822;0,9919;0,5212;0,5212
64;AUTOE;0,4300;0,9685;0,3690;0,3690
32;UMAP;0,0516;0,3144;0,0549;0,0549
32;KPCA_sigmoid;0,6789;0,9979;0,6034;0,6034
32;KPCA_rbf;0,6631;0,9976;0,5858;0,5858
32;KPCA_poly;0,6863;0,9979;0,6106;0,6106
32;KPCA_linear;0,6822;0,9979;0,6067;0,6067
32;KPCA_cosine;0,4104;0,9434;0,3620;0,3620
32;BASE;0,4974;0,9758;0,4460;0,4460
32;AUTOE;0,4541;0,9752;0,3910;0,3910
16;UMAP;0,0197;0,0656;0,0167;0,0167
16;KPCA_sigmoid;0,5801;0,9792;0,5120;0,5120
16;KPCA_rbf;0,5681;0,9765;0,4994;0,4994
16;KPCA_poly;0,5863;0,9809;0,5181;0,5181
16;KPCA_linear;0,5831;0,9799;0,5148;0,5148
16;KPCA_cosine;0,3584;0,8690;0,3213;0,3213
16;BASE;0,4273;0,9353;0,3814;0,3814
16;AUTOE;0,4080;0,9467;0,3613;0,3613
8;UMAP;0,0927;0,4641;0,1042;0,1042
8;KPCA_sigmoid;0,4578;0,9206;0,4045;0,4045
8;KPCA_rbf;0,4479;0,9152;0,3953;0,3953
8;KPCA_poly;0,4626;0,9219;0,4087;0,4087
8;KPCA_linear;0,4603;0,9216;0,4071;0,4071
8;KPCA_cosine;0,2768;0,7521;0,2533;0,2533
8;BASE;0,3375;0,8754;0,3073;0,3073
8;AUTOE;0,2455;0,7183;0,2217;0,2217
4;UMAP;0,0210;0,0770;0,0200;0,0200
4;KPCA_sigmoid;0,3691;0,8171;0,3255;0,3255
4;KPCA_rbf;0,3601;0,8107;0,3177;0,3177
4;KPCA_poly;0,3726;0,8188;0,3286;0,3286
4;KPCA_linear;0,3705;0,8181;0,3268;0,3268
4;KPCA_cosine;0,2238;0,6356;0,2068;0,2068
4;BASE;0,2794;0,7970;0,2534;0,2534
4;AUTOE;0,2587;0,7089;0,2326;0,2326
2;UMAP;0,0126;0,0736;0,0125;0,0125
2;TSNE;0,0337;0,1634;0,0368;0,0368
2;KPCA_sigmoid;0,2502;0,6574;0,2266;0,2266
2;KPCA_rbf;0,2452;0,6443;0,2224;0,2224
2;KPCA_poly;0,2530;0,6590;0,2286;0,2286
2;KPCA_linear;0,2516;0,6597;0,2277;0,2277
2;KPCA_cosine;0,1917;0,4926;0,1708;0,1708
2;BASE;0,2441;0,7002;0,2167;0,2167
2;AUTOE;0,1940;0,5371;0,1753;0,1753
